@relation osrs

@attribute Daily_Average NUMERIC
@attribute Six_Month_Average NUMERIC
@attribute Amount_Traded NUMERIC
@attribute Daily_Average_less_than_Six_Month_Trend {TRUE,FALSE}
@attribute Amount_Traded_greater_than_average {TRUE,FALSE}
@attribute Compare_previous_columns {TRUE,FALSE}

@data
90,93,14282879,TRUE,FALSE,FALSE
91,93,34629746,TRUE,TRUE,TRUE
92,92,20785811,FALSE,FALSE,TRUE
92,92,29286064,FALSE,TRUE,FALSE
91,92,2991183,TRUE,FALSE,FALSE
89,92,38800714,TRUE,TRUE,TRUE
88,91,20936547,TRUE,FALSE,FALSE
87,91,6954068,TRUE,FALSE,FALSE
86,91,17724461,TRUE,FALSE,FALSE
86,90,37354101,TRUE,TRUE,TRUE
86,90,38824516,TRUE,TRUE,TRUE
85,90,21731232,TRUE,FALSE,FALSE
85,89,24438786,TRUE,FALSE,FALSE
85,89,27423354,TRUE,TRUE,TRUE
85,89,35613391,TRUE,TRUE,TRUE
85,88,26637713,TRUE,FALSE,FALSE
85,88,30631226,TRUE,TRUE,TRUE
84,88,37713271,TRUE,TRUE,TRUE
83,88,26427616,TRUE,FALSE,FALSE
82,87,37185444,TRUE,TRUE,TRUE
81,87,16244908,TRUE,FALSE,FALSE
79,87,22230898,TRUE,FALSE,FALSE
78,86,28430582,TRUE,TRUE,TRUE
77,86,27796919,TRUE,TRUE,TRUE
77,86,36774291,TRUE,TRUE,TRUE
76,85,9766608,TRUE,FALSE,FALSE
74,85,30904142,TRUE,TRUE,TRUE
73,84,16305289,TRUE,FALSE,FALSE
72,83,26316649,TRUE,FALSE,FALSE
71,83,22376576,TRUE,FALSE,FALSE
71,82,32133491,TRUE,TRUE,TRUE
71,81,35518082,TRUE,TRUE,TRUE
70,81,8148818,TRUE,FALSE,FALSE
69,80,5470626,TRUE,FALSE,FALSE
69,79,21066067,TRUE,FALSE,FALSE
69,78,22634620,TRUE,FALSE,FALSE
69,78,24088267,TRUE,FALSE,FALSE
70,77,33607512,TRUE,TRUE,TRUE
71,77,41822831,TRUE,TRUE,TRUE
71,76,13011496,TRUE,FALSE,FALSE
70,76,35269803,TRUE,TRUE,TRUE
72,75,20020458,TRUE,FALSE,FALSE
73,75,4692313,TRUE,FALSE,FALSE
73,75,14760858,TRUE,FALSE,FALSE
73,74,33063566,TRUE,TRUE,TRUE
73,74,31261141,TRUE,TRUE,TRUE
72,73,29080112,TRUE,TRUE,TRUE
72,73,12644193,TRUE,FALSE,FALSE
