@relation osrs

@attribute DailyAverage numeric
@attribute Six_Month_Average numeric
@attribute Amount_Traded numeric
@attribute Nature_Rune_Daily_Average numeric
@attribute Worth_Alching {TRUE,FALSE}
@attribute Profit numeric
@attribute Profit_greater_than_0.75_percent {TRUE,FALSE}
@attribute Profit_than_1_percent {TRUE,FALSE}

@data
37932,37887,90724,210,TRUE,258,FALSE,TRUE
37901,37891,79162,213,TRUE,286,TRUE,TRUE
37905,37893,69692,217,TRUE,278,FALSE,TRUE
37933,37901,28281,218,TRUE,249,FALSE,TRUE
37938,37904,59180,217,TRUE,245,FALSE,TRUE
37933,37907,55075,215,TRUE,252,FALSE,TRUE
37926,37909,84878,213,TRUE,261,FALSE,TRUE
37909,37909,66886,212,TRUE,279,FALSE,TRUE
37920,37910,78629,214,TRUE,266,FALSE,TRUE
37945,37913,34303,219,TRUE,236,FALSE,TRUE
37881,37913,92277,225,TRUE,294,TRUE,TRUE
37875,37913,112953,225,TRUE,300,TRUE,TRUE
37857,37911,60260,225,TRUE,318,TRUE,TRUE
37851,37909,84634,224,TRUE,325,TRUE,TRUE
37892,37909,53461,223,TRUE,285,TRUE,TRUE
37836,37906,51538,224,TRUE,340,TRUE,TRUE
37877,37905,29833,224,TRUE,299,TRUE,TRUE
37887,37905,47737,227,TRUE,286,TRUE,TRUE
37850,37903,70839,231,TRUE,319,TRUE,TRUE
37861,37901,65849,237,TRUE,302,TRUE,TRUE
37788,37896,77160,239,TRUE,373,TRUE,TRUE
37821,37892,32326,241,TRUE,338,TRUE,TRUE
37786,37887,69089,244,TRUE,370,TRUE,TRUE
37838,37885,102681,252,TRUE,310,TRUE,TRUE
37820,37882,39951,250,TRUE,330,TRUE,TRUE
37826,37878,112938,247,TRUE,327,TRUE,TRUE
37767,37874,67001,243,TRUE,390,TRUE,FALSE
37691,37868,95959,242,TRUE,467,TRUE,FALSE
37693,37861,8506,239,TRUE,468,TRUE,FALSE
37731,37855,121961,238,TRUE,431,TRUE,FALSE
37766,37850,71173,241,TRUE,393,TRUE,FALSE
37786,37846,28248,241,TRUE,373,TRUE,TRUE
37786,37842,71568,241,TRUE,373,TRUE,TRUE
37778,37837,119947,240,TRUE,382,TRUE,FALSE
37791,37832,135895,238,TRUE,371,TRUE,TRUE
37779,37827,75514,237,TRUE,384,TRUE,FALSE
37774,37822,90748,237,TRUE,389,TRUE,FALSE
37769,37817,101977,236,TRUE,395,TRUE,FALSE
37770,37812,158624,234,TRUE,396,TRUE,FALSE
37762,37806,96418,233,TRUE,405,TRUE,FALSE
37798,37803,129676,230,TRUE,372,TRUE,TRUE
37763,37799,149565,226,TRUE,411,TRUE,FALSE
37780,37797,111368,222,TRUE,398,TRUE,FALSE
37544,37787,150194,224,TRUE,632,TRUE,FALSE
37663,37779,48519,226,TRUE,511,TRUE,FALSE
37804,37778,82974,226,TRUE,370,TRUE,TRUE
37817,37776,101430,227,TRUE,356,TRUE,TRUE
37853,37775,103913,228,TRUE,319,TRUE,TRUE
37851,37775,141859,226,TRUE,323,TRUE,TRUE
37835,37774,31189,227,TRUE,338,TRUE,TRUE
37730,37772,148950,229,TRUE,441,TRUE,FALSE
37677,37767,68716,232,TRUE,491,TRUE,FALSE
37693,37764,121513,232,TRUE,475,TRUE,FALSE
37700,37759,85363,231,TRUE,469,TRUE,FALSE
37768,37758,112206,230,TRUE,402,TRUE,FALSE
37798,37757,109493,228,TRUE,374,TRUE,TRUE
37825,37759,25385,227,TRUE,348,TRUE,TRUE
37795,37762,19251,229,TRUE,376,TRUE,TRUE
37793,37765,80047,231,TRUE,376,TRUE,TRUE
37812,37768,81205,235,TRUE,353,TRUE,TRUE
37822,37770,97983,234,TRUE,344,TRUE,TRUE
37823,37771,140702,233,TRUE,344,TRUE,TRUE
37693,37768,165152,230,TRUE,477,TRUE,FALSE
37736,37767,64335,225,TRUE,439,TRUE,FALSE
37503,37757,127598,225,TRUE,672,TRUE,FALSE
37745,37756,73172,224,TRUE,431,TRUE,FALSE
37773,37756,24160,224,TRUE,403,TRUE,FALSE
37818,37758,50529,223,TRUE,359,TRUE,TRUE
37831,37760,131000,222,TRUE,347,TRUE,TRUE
37801,37761,122796,220,TRUE,379,TRUE,FALSE
37783,37760,108668,218,TRUE,399,TRUE,FALSE
37779,37761,65304,216,TRUE,405,TRUE,FALSE
