Date,Daily Average,Six Month Average,Amount Traded
2019-05-30,29540,29632,1874
2019-05-31,29713,29636,1225
2019-06-01,29658,29640,1911
2019-06-02,29603,29638,2007
2019-06-03,29548,29635,1737
2019-06-04,29559,29630,2516
2019-06-05,29620,29633,198
2019-06-06,29633,29633,1737
2019-06-07,29628,29634,1534
2019-06-08,29629,29634,2430
2019-06-09,29593,29632,602
2019-06-10,29604,29632,678
2019-06-11,29600,29631,2295
2019-06-12,29626,29632,1415
2019-06-13,29791,29630,2028
2019-06-14,29657,29629,2054
2019-06-15,29630,29628,1313
2019-06-16,29657,29634,117
2019-06-17,29637,29633,1730
2019-06-18,29627,29634,1321
2019-06-19,29838,29639,1851
2019-06-20,29608,29636,2600
2019-06-21,29641,29636,1412
2019-06-22,29692,29636,1447
2019-06-23,29687,29637,9
2019-06-24,29589,29637,1324
2019-06-25,29747,29640,1681
2019-06-26,29755,29646,1521
2019-06-27,29711,29649,2107
2019-06-28,29731,29651,1165
2019-06-29,29671,29656,2246
2019-06-30,29651,29654,486
2019-07-01,29648,29653,1089
2019-07-02,29656,29655,1937
2019-07-03,29680,29659,2165
2019-07-04,29712,29664,1592
2019-07-05,29584,29663,2057
2019-07-06,29591,29662,1536
2019-07-07,29577,29660,2008
2019-07-08,29681,29662,1428
2019-07-09,29673,29665,2104
2019-07-10,29846,29673,91
2019-07-11,29625,29673,1533
2019-07-12,29729,29677,2572
2019-07-13,29623,29671,1061
2019-07-14,29661,29671,786
2019-07-15,29586,29670,970
2019-07-16,29579,29667,1684
2019-07-17,29603,29666,679
2019-07-18,29723,29669,1271
2019-07-19,29611,29662,1688
2019-07-20,29721,29666,1583
2019-07-21,29637,29666,213
2019-07-22,29604,29663,1845
2019-07-23,29656,29662,1594
2019-07-24,29642,29663,26
2019-07-25,29463,29654,1108
2019-07-26,29542,29647,1091
2019-07-27,29561,29642,2047
2019-07-28,29581,29637,1636
2019-07-29,29469,29630,1493
2019-07-30,29527,29626,1982
2019-07-31,29593,29624,323
2019-08-01,29592,29622,1357
2019-08-02,29621,29620,1299
2019-08-03,29571,29615,2544
2019-08-04,29562,29615,347
2019-08-05,29607,29615,1886
2019-08-06,29495,29612,1774
2019-08-07,29607,29610,651
2019-08-08,29540,29605,1139
2019-08-09,29565,29596,950
2019-08-10,29610,29596,2642
2019-08-11,29558,29590,1216
2019-08-12,29368,29581,1698
2019-08-13,29494,29576,1678
2019-08-14,29603,29576,1796
2019-08-15,29601,29577,1637
2019-08-16,29484,29573,2927
2019-08-17,29553,29567,759
2019-08-18,29585,29567,2540
2019-08-19,29583,29562,1496
2019-08-20,29477,29557,1704
2019-08-21,29466,29552,1522
2019-08-22,29531,29548,2106
2019-08-23,29700,29550,1188
2019-08-24,30128,29572,2512
2019-08-25,29529,29572,1046
2019-08-26,29540,29571,1913
2019-08-27,29490,29568,1245
2019-08-28,29506,29569,70
2019-08-29,29701,29575,58
2019-08-30,29520,29572,2260
2019-08-31,29457,29568,827
2019-09-01,29566,29566,585
2019-09-02,29610,29567,740
2019-09-03,29506,29566,2205
2019-09-04,29585,29565,655
2019-09-05,29986,29581,1201
2019-09-06,29759,29586,952
2019-09-07,29407,29582,2156
2019-09-08,29610,29583,1258
2019-09-09,29660,29585,1175
2019-09-10,29698,29590,1006
2019-09-11,29537,29595,2039
2019-09-12,29756,29604,1246
2019-09-13,29680,29607,1416
2019-09-14,29538,29604,1897
2019-09-15,29663,29610,1801
2019-09-16,29667,29614,1601
2019-09-17,29639,29616,1275
2019-09-18,29622,29617,784
2019-09-19,29796,29628,1345
2019-09-20,29490,29629,1099
2019-09-21,29758,29636,1756
2019-09-22,29385,29626,1810
2019-09-23,29651,29610,2547
2019-09-24,29567,29611,761
2019-09-25,29613,29614,1695
2019-09-26,29750,29622,1932
2019-09-27,29806,29632,1129
2019-09-28,29633,29630,1941
2019-09-29,29598,29633,1005
2019-09-30,29504,29634,1276
2019-10-01,29651,29637,563
2019-10-02,29716,29641,936
2019-10-03,29466,29639,1435
2019-10-04,29648,29641,1391
2019-10-05,29742,29633,2003
2019-10-06,29598,29628,585
2019-10-07,29716,29638,1522
2019-10-08,29715,29642,1856
2019-10-09,29633,29641,785
2019-10-10,29406,29631,3304
2019-10-11,28743,29605,1454
2019-10-12,29493,29596,1535
2019-10-13,29602,29593,164
2019-10-14,29724,29599,2210
2019-10-15,29646,29599,979
2019-10-16,29501,29593,316
2019-10-17,29583,29591,876
2019-10-18,29589,29590,2413
2019-10-19,29545,29582,2248
2019-10-20,29562,29584,1299
2019-10-21,29564,29578,1200
2019-10-22,29597,29585,1273
2019-10-23,29494,29580,2297
2019-10-24,29448,29576,2213
2019-10-25,29439,29570,1819
2019-10-26,29547,29563,2067
2019-10-27,29673,29559,1629
2019-10-28,29565,29556,2042
2019-10-29,29538,29554,937
2019-10-30,29575,29557,1230
2019-10-31,29584,29555,1477
2019-11-01,29544,29549,1246
2019-11-02,29774,29559,2073
2019-11-03,29445,29552,485
2019-11-04,29467,29543,1761
2019-11-05,29723,29547,936
2019-11-06,29534,29541,1330
2019-11-07,29517,29535,1135
2019-11-08,29519,29531,1432
2019-11-09,29606,29538,2134
2019-11-10,29707,29570,407
2019-11-11,29518,29571,199
2019-11-12,29605,29571,1056
2019-11-13,29745,29571,1324
2019-11-14,29544,29568,1187
2019-11-15,29534,29569,1462
2019-11-16,29629,29571,2113
2019-11-17,29565,29570,681
2019-11-18,29512,29569,2557
2019-11-19,29404,29563,1143
2019-11-20,29465,29560,245
2019-11-21,29576,29559,667
2019-11-22,29552,29561,1882
2019-11-23,29616,29567,1236
2019-11-24,29668,29575,1441
2019-11-25,29567,29575,594
