Date,Daily Average,Six Month Average,Amount Traded
2019-05-30,93,85,11233495
2019-05-31,97,86,10343436
2019-06-01,95,88,13537811
2019-06-02,90,89,15583348
2019-06-03,85,89,12245889
2019-06-04,80,90,16822004
2019-06-05,82,90,2128508
2019-06-06,82,90,13233868
2019-06-07,81,90,12198498
2019-06-08,81,90,19868998
2019-06-09,76,89,3439501
2019-06-10,74,89,5236528
2019-06-11,76,88,18016613
2019-06-12,79,88,12588240
2019-06-13,81,87,14953355
2019-06-14,84,87,15628771
2019-06-15,86,86,10508617
2019-06-16,85,85,708418
2019-06-17,87,85,12871227
2019-06-18,92,85,9541798
2019-06-19,94,85,13913968
2019-06-20,93,86,19035823
2019-06-21,97,86,9311055
2019-06-22,102,87,9421796
2019-06-23,108,88,49281
2019-06-24,111,88,9631602
2019-06-25,112,89,11541055
2019-06-26,113,89,10659213
2019-06-27,117,90,14594408
2019-06-28,118,91,6722342
2019-06-29,118,92,15319065
2019-06-30,116,93,2331318
2019-07-01,117,93,6858195
2019-07-02,121,94,13101925
2019-07-03,127,96,10667341
2019-07-04,133,98,8033096
2019-07-05,139,100,13096327
2019-07-06,142,102,11332309
2019-07-07,145,104,11464942
2019-07-08,142,106,8869631
2019-07-09,137,108,15741282
2019-07-10,132,110,644470
2019-07-11,128,111,8903931
2019-07-12,128,113,16583594
2019-07-13,134,115,7469522
2019-07-14,140,117,5016123
2019-07-15,142,119,6437836
2019-07-16,141,120,11230494
2019-07-17,142,122,4722328
2019-07-18,141,124,11231098
2019-07-19,133,125,10542684
2019-07-20,126,126,11214724
2019-07-21,123,127,1602899
2019-07-22,126,128,10658012
2019-07-23,133,129,11822141
2019-07-24,139,130,242804
2019-07-25,145,131,8794629
2019-07-26,150,132,8401620
2019-07-27,156,133,12733221
2019-07-28,162,135,12306121
2019-07-29,158,136,8271435
2019-07-30,156,137,13913631
2019-07-31,154,139,2805999
2019-08-01,151,140,11069037
2019-08-02,149,140,10868216
2019-08-03,148,141,21143086
2019-08-04,143,141,2312892
2019-08-05,138,141,13426648
2019-08-06,137,141,13078384
2019-08-07,134,140,4782083
2019-08-08,128,140,9274051
2019-08-09,127,140,5886877
2019-08-10,134,140,20052392
2019-08-11,139,140,9200704
2019-08-12,138,141,10144232
2019-08-13,134,140,6773097
2019-08-14,141,140,9370701
2019-08-15,149,141,10486813
2019-08-16,157,141,17589187
2019-08-17,165,142,6767502
2019-08-18,170,143,18102962
2019-08-19,161,144,12290072
2019-08-20,153,145,11111283
2019-08-21,145,146,12610955
2019-08-22,137,146,16244752
2019-08-23,135,146,9409994
2019-08-24,137,146,20695678
2019-08-25,136,145,7967211
2019-08-26,132,144,14528530
2019-08-27,133,143,9413547
2019-08-28,134,143,742474
2019-08-29,137,142,550521
2019-08-30,140,142,19360800
2019-08-31,140,141,8797122
2019-09-01,133,141,5814005
2019-09-02,126,140,8899339
2019-09-03,119,139,21570674
2019-09-04,113,138,4766015
2019-09-05,113,138,10617353
2019-09-06,119,137,6983187
2019-09-07,125,137,13755898
2019-09-08,132,137,7625283
2019-09-09,139,137,6393404
2019-09-10,146,137,5779503
2019-09-11,154,138,13635607
2019-09-12,162,139,7183583
2019-09-13,171,140,5978781
2019-09-14,180,141,11882623
2019-09-15,188,142,11790780
2019-09-16,190,143,11240670
2019-09-17,185,143,9617673
2019-09-18,178,144,4380999
2019-09-19,172,145,7833748
2019-09-20,172,145,6483526
2019-09-21,179,147,10976194
2019-09-22,185,149,8676360
2019-09-23,193,150,11527852
2019-09-24,192,152,4014370
2019-09-25,189,154,11723378
2019-09-26,181,156,12118843
2019-09-27,174,157,6788369
2019-09-28,166,158,12452035
2019-09-29,157,159,7105316
2019-09-30,150,159,8023456
2019-10-01,146,159,3958042
2019-10-02,150,160,5590670
2019-10-03,158,161,7693397
2019-10-04,165,163,7743418
2019-10-05,173,165,10460407
2019-10-06,180,167,3854939
2019-10-07,187,169,7335922
2019-10-08,193,171,10857079
2019-10-09,193,173,4036512
2019-10-10,187,175,11109514
2019-10-11,178,175,6572238
2019-10-12,169,176,9418550
2019-10-13,164,175,1095554
2019-10-14,162,175,11983172
2019-10-15,160,174,6198024
2019-10-16,161,173,2153823
2019-10-17,159,172,5061218
2019-10-18,161,171,11163377
2019-10-19,162,171,10090289
2019-10-20,170,171,6235244
2019-10-21,178,171,6405614
2019-10-22,185,171,6743872
2019-10-23,192,171,10563273
2019-10-24,193,171,6880820
2019-10-25,193,171,8827576
2019-10-26,184,171,11327610
2019-10-27,174,171,8081147
2019-10-28,166,171,11379378
2019-10-29,161,171,4787936
2019-10-30,169,172,5734259
2019-10-31,175,173,7936434
2019-11-01,176,174,8012735
2019-11-02,174,174,10534749
2019-11-03,175,175,2194924
2019-11-04,177,175,7814570
2019-11-05,184,175,4452408
2019-11-06,192,175,8717810
2019-11-07,187,175,8098128
2019-11-08,177,174,16984835
2019-11-09,168,174,16399505
2019-11-10,159,173,4253918
2019-11-11,151,172,2844559
2019-11-12,143,172,15322314
2019-11-13,135,171,13337204
2019-11-14,128,170,18668124
2019-11-15,121,168,26012917
2019-11-16,114,167,30689010
2019-11-17,108,165,9886802
2019-11-18,102,163,28256602
2019-11-19,96,161,17355894
2019-11-20,91,158,7133090
2019-11-21,90,155,12025706
2019-11-22,94,151,22443615
2019-11-23,96,148,22707079
2019-11-24,98,145,22309187
2019-11-25,99,142,10391060
