Date,Daily Average,Six Month Average,Amount Traded,Nature Rune Daily Average,Profit From High Alch
5/30/2019,38585,38582,46792,156,259
5/31/2019,38538,38580,33195,157,305
6/1/2019,38539,38578,45564,155,306
6/2/2019,38534,38576,46716,149,317
6/3/2019,38524,38574,37911,143,333
6/4/2019,38533,38573,57507,142,325
6/5/2019,38569,38573,7113,147,284
6/6/2019,38590,38573,42304,153,257
6/7/2019,38583,38573,46341,157,260
6/8/2019,38554,38572,57826,159,287
6/9/2019,38560,38571,12149,158,282
6/10/2019,38577,38571,15931,155,268
6/11/2019,38555,38570,56955,158,287
6/12/2019,38573,38572,39623,155,272
6/13/2019,38601,38573,57251,152,247
6/14/2019,38565,38572,53117,151,284
6/15/2019,38557,38570,32524,144,299
6/16/2019,38569,38569,3550,140,291
6/17/2019,38566,38568,48540,142,292
6/18/2019,38572,38569,28954,147,281
6/19/2019,38588,38569,40908,150,262
6/20/2019,38582,38569,67446,149,269
6/21/2019,38557,38567,37182,153,290
6/22/2019,38544,38564,34256,155,301
6/23/2019,38545,38563,232,155,300
6/24/2019,38547,38563,36055,156,297
6/25/2019,38546,38563,45460,158,296
6/26/2019,38529,38561,40410,161,310
6/27/2019,38559,38560,59454,163,278
6/28/2019,38551,38559,21353,167,282
6/29/2019,38576,38559,54568,167,257
6/30/2019,38561,38560,12482,164,275
7/1/2019,38541,38560,25581,161,298
7/2/2019,38573,38561,55147,159,268
7/3/2019,38564,38562,55405,158,278
7/4/2019,38523,38562,33539,157,320
7/5/2019,38532,38561,57982,155,313
7/6/2019,38526,38559,41705,151,323
7/7/2019,38529,38557,48245,146,325
7/8/2019,38532,38556,36114,142,326
7/9/2019,38569,38556,56768,146,285
7/10/2019,38579,38557,2714,150,271
7/11/2019,38595,38558,34250,152,253
7/12/2019,38621,38559,71729,155,224
7/13/2019,38563,38558,23187,155,282
7/14/2019,38567,38558,20900,153,280
7/15/2019,38559,38558,24599,151,290
7/16/2019,38593,38559,42584,150,257
7/17/2019,38597,38560,18088,151,252
7/18/2019,38595,38561,40062,152,253
7/19/2019,38567,38560,37621,150,283
7/20/2019,38587,38560,36558,148,265
7/21/2019,38608,38562,6467,147,245
7/22/2019,38580,38563,49350,147,273
7/23/2019,38541,38563,56741,152,307
7/24/2019,38527,38563,1022,155,318
7/25/2019,38549,38563,38433,155,296
7/26/2019,38577,38564,40542,156,267
7/27/2019,38547,38564,55383,154,299
7/28/2019,38481,38561,46366,153,366
7/29/2019,38398,38556,40319,151,451
7/30/2019,38445,38552,56030,150,405
7/31/2019,38504,38550,10894,149,347
8/1/2019,38513,38548,43349,149,338
8/2/2019,38466,38545,44547,148,386
8/3/2019,38475,38544,74828,147,378
8/4/2019,38474,38542,11009,146,380
8/5/2019,38453,38539,53676,147,400
8/6/2019,38469,38537,41459,150,381
8/7/2019,38506,38536,20768,150,344
8/8/2019,38501,38534,32649,147,352
8/9/2019,38483,38531,31235,144,373
8/10/2019,38493,38527,74589,142,365
8/11/2019,38458,38522,29322,139,403
8/12/2019,38491,38520,43314,139,370
8/13/2019,38493,38517,38808,140,367
8/14/2019,38509,38516,40148,143,348
8/15/2019,38551,38514,42561,145,304
8/16/2019,38556,38513,76132,144,300
8/17/2019,38528,38511,19940,141,331
8/18/2019,38541,38510,56730,140,319
8/19/2019,38548,38508,42037,138,314
8/20/2019,38523,38506,34650,142,335
8/21/2019,38540,38504,45379,144,316
8/22/2019,38477,38502,56180,144,379
8/23/2019,38525,38502,30261,145,330
8/24/2019,38588,38503,67612,147,265
8/25/2019,38541,38502,23639,148,311
8/26/2019,38585,38503,46489,149,266
8/27/2019,38567,38506,32539,148,285
8/28/2019,38579,38512,2296,146,275
8/29/2019,38560,38516,2458,149,291
8/30/2019,38573,38518,62414,152,275
8/31/2019,38541,38519,21746,151,308
9/1/2019,38527,38521,18839,151,322
9/2/2019,38503,38522,24745,150,347
9/3/2019,38489,38523,66892,150,361
9/4/2019,38520,38525,17733,149,331
9/5/2019,38547,38528,39532,150,303
9/6/2019,38533,38529,27887,149,318
9/7/2019,38528,38529,63290,147,325
9/8/2019,38510,38530,35181,144,346
9/9/2019,38491,38530,30220,143,366
9/10/2019,38529,38533,29654,147,324
9/11/2019,38556,38535,53739,150,294
9/12/2019,38573,38537,33463,150,277
9/13/2019,38612,38541,38594,154,234
9/14/2019,38556,38541,47345,155,289
9/15/2019,38559,38541,42786,157,284
9/16/2019,38560,38542,46802,159,281
9/17/2019,38555,38543,37733,162,283
9/18/2019,38574,38544,20601,160,266
9/19/2019,38523,38544,38603,160,317
9/20/2019,38489,38542,27839,158,353
9/21/2019,38524,38543,51370,155,321
9/22/2019,38519,38543,43466,153,328
9/23/2019,38468,38539,61696,152,380
9/24/2019,38484,38537,20809,153,363
9/25/2019,38506,38535,53389,154,340
9/26/2019,38526,38533,63185,154,320
9/27/2019,38510,38531,27690,154,336
9/28/2019,38528,38530,56125,158,314
9/29/2019,38476,38527,25535,163,361
9/30/2019,38502,38525,34252,168,330
10/1/2019,38500,38525,18391,173,327
10/2/2019,38493,38524,25393,181,326
10/3/2019,38495,38524,37841,186,319
10/4/2019,38493,38523,44342,190,317
10/5/2019,38347,38517,50233,194,459
10/6/2019,38433,38513,18167,198,369
10/7/2019,38487,38512,34901,204,309
10/8/2019,38557,38514,52023,211,232
10/9/2019,38507,38514,19368,211,282
10/10/2019,38475,38512,54014,205,320
10/11/2019,38477,38510,33917,197,326
10/12/2019,38463,38506,45366,187,350
10/13/2019,38454,38501,4765,177,369
10/14/2019,38472,38498,53242,168,360
10/15/2019,38516,38497,28412,161,323
10/16/2019,38540,38496,13173,156,304
10/17/2019,38503,38494,23849,158,339
10/18/2019,38527,38493,52402,162,311
10/19/2019,38505,38492,61544,162,333
10/20/2019,38456,38491,30592,164,380
10/21/2019,38473,38489,35605,166,361
10/22/2019,38495,38488,39179,174,331
10/23/2019,38508,38490,55254,178,314
10/24/2019,38516,38491,36566,180,304
10/25/2019,38535,38492,44121,178,287
10/26/2019,38531,38492,56436,173,296
10/27/2019,38509,38492,36456,166,325
10/28/2019,38516,38492,57601,161,323
10/29/2019,38508,38493,21203,167,325
10/30/2019,38561,38495,30425,174,265
10/31/2019,38619,38499,47802,178,203
11/1/2019,38576,38501,49351,178,246
11/2/2019,38443,38500,55246,177,380
11/3/2019,38477,38499,16479,174,349
11/4/2019,38514,38505,42929,173,313
11/5/2019,38556,38509,21926,180,264
11/6/2019,38627,38513,37895,186,187
11/7/2019,38541,38513,34500,184,275
11/8/2019,38493,38512,48654,176,331
11/9/2019,38490,38513,54850,168,342
11/10/2019,38509,38514,12610,161,330
11/11/2019,38474,38514,7058,165,361
11/12/2019,38481,38515,27173,165,354
11/13/2019,38528,38517,32116,161,311
11/14/2019,38530,38518,42388,160,310
11/15/2019,38511,38517,51882,162,327
11/16/2019,38478,38516,72559,157,365
11/17/2019,38441,38513,30173,155,404
11/18/2019,38367,38508,114180,157,476
11/19/2019,38280,38502,42500,158,562
11/20/2019,38360,38499,11699,157,483
11/21/2019,38375,38495,35298,153,472
11/22/2019,38391,38491,60599,150,459
11/23/2019,38412,38487,73035,145,443
11/24/2019,38419,38483,88182,144,437
11/25/2019,38357,38478,30333,148,495
