Date,Daily Average,Six Month Average,Amount Traded
2019-05-30,18771,18756,45413
2019-05-31,18764,18756,35028
2019-06-01,18761,18756,43984
2019-06-02,18761,18756,45229
2019-06-03,18740,18755,34846
2019-06-04,18760,18755,51042
2019-06-05,18782,18756,6741
2019-06-06,18779,18756,38125
2019-06-07,18783,18756,43331
2019-06-08,18763,18756,58780
2019-06-09,18745,18754,11071
2019-06-10,18724,18753,17370
2019-06-11,18684,18751,61431
2019-06-12,18731,18751,43365
2019-06-13,18756,18751,56853
2019-06-14,18757,18751,53126
2019-06-15,18761,18750,32761
2019-06-16,18763,18749,4114
2019-06-17,18760,18749,48070
2019-06-18,18772,18750,31309
2019-06-19,18769,18751,46528
2019-06-20,18757,18752,72997
2019-06-21,18725,18751,41931
2019-06-22,18718,18750,35189
2019-06-23,18744,18750,245
2019-06-24,18729,18751,38946
2019-06-25,18723,18751,49811
2019-06-26,18730,18751,46938
2019-06-27,18731,18750,58931
2019-06-28,18752,18749,23019
2019-06-29,18770,18749,51217
2019-06-30,18766,18749,13327
2019-07-01,18753,18749,26201
2019-07-02,18770,18749,57463
2019-07-03,18768,18750,56771
2019-07-04,18739,18750,35262
2019-07-05,18742,18748,59962
2019-07-06,18738,18747,43867
2019-07-07,18722,18745,48309
2019-07-08,18724,18744,39427
2019-07-09,18748,18744,58500
2019-07-10,18754,18745,2610
2019-07-11,18769,18748,36242
2019-07-12,18780,18749,73273
2019-07-13,18745,18749,24726
2019-07-14,18763,18749,21618
2019-07-15,18735,18748,25747
2019-07-16,18767,18748,44527
2019-07-17,18775,18749,18530
2019-07-18,18781,18749,40565
2019-07-19,18769,18749,42923
2019-07-20,18755,18749,36843
2019-07-21,18758,18750,9076
2019-07-22,18729,18750,56860
2019-07-23,18697,18749,54714
2019-07-24,18722,18749,1105
2019-07-25,18725,18749,33765
2019-07-26,18746,18749,39158
2019-07-27,18733,18749,53115
2019-07-28,18713,18748,49166
2019-07-29,18632,18743,40304
2019-07-30,18655,18740,59194
2019-07-31,18683,18737,11090
2019-08-01,18698,18735,38456
2019-08-02,18714,18733,45808
2019-08-03,18647,18730,74513
2019-08-04,18652,18727,13661
2019-08-05,18641,18724,58696
2019-08-06,18644,18721,46929
2019-08-07,18675,18720,21666
2019-08-08,18679,18717,35435
2019-08-09,18670,18715,34531
2019-08-10,18650,18711,75960
2019-08-11,18618,18705,32747
2019-08-12,18617,18701,45195
2019-08-13,18633,18697,45720
2019-08-14,18636,18693,45867
2019-08-15,18680,18690,42127
2019-08-16,18707,18688,72618
2019-08-17,18702,18686,20286
2019-08-18,18697,18683,57305
2019-08-19,18690,18681,40922
2019-08-20,18698,18679,35957
2019-08-21,18722,18679,40301
2019-08-22,18721,18680,55486
2019-08-23,18721,18679,30677
2019-08-24,18720,18679,64561
2019-08-25,18708,18678,25350
2019-08-26,18708,18677,48189
2019-08-27,18705,18677,32858
2019-08-28,18728,18680,1913
2019-08-29,18747,18683,2212
2019-08-30,18752,18686,64354
2019-08-31,18708,18686,25221
2019-09-01,18674,18685,17352
2019-09-02,18662,18685,23306
2019-09-03,18696,18686,68927
2019-09-04,18715,18689,15863
2019-09-05,18737,18692,34537
2019-09-06,18740,18694,26882
2019-09-07,18705,18695,61260
2019-09-08,18707,18696,34319
2019-09-09,18702,18698,30795
2019-09-10,18722,18702,28082
2019-09-11,18743,18706,51396
2019-09-12,18749,18710,32519
2019-09-13,18748,18713,38986
2019-09-14,18712,18714,47514
2019-09-15,18712,18715,47058
2019-09-16,18693,18714,47595
