Date,Daily Average,Six Month Average,Amount Traded
2019-05-30,161383,161354,14041
2019-05-31,161337,161351,10688
2019-06-01,161367,161348,13914
2019-06-02,161393,161349,14319
2019-06-03,161384,161349,10807
2019-06-04,161349,161348,17684
2019-06-05,161347,161346,2536
2019-06-06,161382,161345,13034
2019-06-07,161373,161346,13761
2019-06-08,161369,161353,17573
2019-06-09,161366,161354,3493
2019-06-10,161396,161356,4653
2019-06-11,161374,161358,18883
2019-06-12,161372,161358,12852
2019-06-13,161398,161359,17217
2019-06-14,161388,161359,16053
2019-06-15,161341,161360,10689
2019-06-16,161369,161361,1359
2019-06-17,161377,161368,15595
2019-06-18,161376,161370,10115
2019-06-19,161417,161372,14003
2019-06-20,161384,161371,22526
2019-06-21,161371,161369,12947
2019-06-22,161379,161369,9898
2019-06-23,161374,161368,103
2019-06-24,161359,161368,11711
2019-06-25,161372,161370,15363
2019-06-26,161236,161366,14602
2019-06-27,161302,161366,19058
2019-06-28,161354,161366,7599
2019-06-29,161390,161366,17253
2019-06-30,161363,161367,4077
2019-07-01,161342,161366,8868
2019-07-02,161390,161366,17802
2019-07-03,161341,161365,17458
2019-07-04,161343,161364,10721
2019-07-05,161367,161365,18494
2019-07-06,161361,161364,13037
2019-07-07,161393,161365,13868
2019-07-08,161385,161366,10869
2019-07-09,161376,161366,18124
2019-07-10,161370,161365,1058
2019-07-11,161397,161366,12161
2019-07-12,161406,161367,22749
2019-07-13,161363,161366,8297
2019-07-14,161374,161365,6962
2019-07-15,161378,161366,8051
2019-07-16,161414,161368,14499
2019-07-17,161358,161367,5926
2019-07-18,161326,161366,14034
2019-07-19,161326,161363,13449
2019-07-20,161341,161361,12413
2019-07-21,161333,161360,2414
2019-07-22,161337,161359,14478
2019-07-23,161317,161357,17893
2019-07-24,161332,161356,452
2019-07-25,161360,161355,12478
2019-07-26,161316,161358,13079
2019-07-27,161300,161358,18084
2019-07-28,161206,161353,14286
2019-07-29,161137,161345,12526
2019-07-30,161194,161339,19085
2019-07-31,161260,161336,3576
2019-08-01,161265,161332,13414
2019-08-02,161267,161330,14776
2019-08-03,161288,161328,22283
2019-08-04,161250,161324,3345
2019-08-05,161236,161320,17852
2019-08-06,161246,161315,13802
2019-08-07,161272,161311,6557
2019-08-08,161279,161308,10831
2019-08-09,161279,161305,10014
2019-08-10,161289,161301,22521
2019-08-11,161226,161295,9788
2019-08-12,161210,161290,13789
2019-08-13,161273,161287,13475
2019-08-14,161288,161284,14667
2019-08-15,161322,161281,13376
2019-08-16,161358,161281,24131
2019-08-17,161343,161281,6335
2019-08-18,161327,161281,17295
2019-08-19,161336,161281,13835
2019-08-20,161374,161282,11632
2019-08-21,161555,161290,13039
2019-08-22,161437,161294,17616
2019-08-23,161427,161297,10061
2019-08-24,161313,161295,21122
2019-08-25,161295,161295,7461
2019-08-26,161414,161298,15136
2019-08-27,161312,161302,10937
2019-08-28,161329,161308,731
2019-08-29,161387,161315,684
2019-08-30,161369,161318,21625
2019-08-31,161183,161316,8301
2019-09-01,161254,161315,6018
2019-09-02,161313,161316,8206
2019-09-03,161308,161318,21847
2019-09-04,161316,161321,6120
2019-09-05,161326,161323,11945
2019-09-06,161318,161325,9560
2019-09-07,161275,161325,20536
2019-09-08,161380,161328,10521
2019-09-09,161386,161331,9644
2019-09-10,161327,161335,10210
2019-09-11,161319,161338,17203
2019-09-12,161486,161345,10812
2019-09-13,161457,161351,12154
2019-09-14,160764,161332,16337
2019-09-15,161156,161326,14113
2019-09-16,161275,161323,16486
2019-09-17,161332,161324,13154
2019-09-18,161345,161324,6279
2019-09-19,161334,161323,12433
2019-09-20,161295,161314,9635
2019-09-21,161246,161308,15683
2019-09-22,161260,161302,13525
2019-09-23,161222,161299,19338
2019-09-24,161293,161299,6858
2019-09-25,161306,161295,17095
2019-09-26,161320,161296,20303
2019-09-27,161108,161288,9572
2019-09-28,161088,161278,17222
2019-09-29,161143,161271,7522
2019-09-30,161161,161270,11179
2019-10-01,161187,161268,6182
2019-10-02,161233,161265,8467
2019-10-03,161255,161263,12608
2019-10-04,161320,161263,12574
2019-10-05,161314,161263,15627
2019-10-06,161323,161263,5766
2019-10-07,161185,161260,12261
2019-10-08,161222,161255,16986
2019-10-09,161246,161250,6430
2019-10-10,161292,161249,17275
2019-10-11,161262,161247,9875
2019-10-12,161219,161238,13951
2019-10-13,161248,161231,1651
2019-10-14,161158,161244,17762
2019-10-15,161207,161246,9750
2019-10-16,160879,161233,3868
2019-10-17,161126,161226,8026
2019-10-18,161256,161223,17232
2019-10-19,161283,161221,17834
2019-10-20,161288,161221,9728
2019-10-21,161313,161223,10689
2019-10-22,161285,161224,12403
2019-10-23,161316,161227,17088
2019-10-24,161312,161228,12162
2019-10-25,161258,161226,14010
2019-10-26,161142,161220,16857
2019-10-27,161149,161222,11435
2019-10-28,161261,161228,18202
2019-10-29,161263,161232,7319
2019-10-30,161254,161235,10718
2019-10-31,161283,161238,13955
2019-11-01,161292,161240,13884
2019-11-02,161390,161244,15919
2019-11-03,161579,161253,5584
2019-11-04,161113,161246,19755
2019-11-05,160861,161231,7282
2019-11-06,161219,161232,12801
2019-11-07,161316,161235,10945
2019-11-08,161527,161245,14762
2019-11-09,161190,161241,16999
2019-11-10,161194,161239,3808
2019-11-11,161266,161240,2174
2019-11-12,161297,161242,9162
2019-11-13,161324,161248,10754
2019-11-14,161287,161250,13404
2019-11-15,161193,161261,16127
2019-11-16,161150,161262,20850
2019-11-17,161025,161254,5285
2019-11-18,161131,161249,17768
2019-11-19,161106,161243,9484
2019-11-20,161187,161239,2581
2019-11-21,161025,161230,7523
2019-11-22,161098,161223,15474
2019-11-23,161142,161217,13685
2019-11-24,161205,161215,13073
2019-11-25,161138,161215,6162
