Date,Daily Average,Six Month Average,Amount Traded
2019-05-30,12203,12220,2866
2019-05-31,12185,12219,2310
2019-06-01,12231,12220,3213
2019-06-02,12195,12219,3009
2019-06-03,12247,12221,1951
2019-06-04,12279,12222,4934
2019-06-05,12161,12230,641
2019-06-06,12179,12231,2453
2019-06-07,12229,12232,3120
2019-06-08,12184,12230,5400
2019-06-09,12157,12228,781
2019-06-10,12159,12227,758
2019-06-11,12268,12229,3252
2019-06-12,12225,12232,5905
2019-06-13,12067,12225,2770
2019-06-14,12209,12225,2765
2019-06-15,12294,12227,1938
2019-06-16,12360,12230,129
2019-06-17,12314,12235,2999
2019-06-18,12299,12237,1992
2019-06-19,12272,12235,3615
2019-06-20,12246,12233,8083
2019-06-21,12185,12228,2436
2019-06-22,12180,12226,2189
2019-06-23,12284,12229,38
2019-06-24,12299,12231,2779
2019-06-25,12281,12230,3945
2019-06-26,12198,12226,2235
2019-06-27,12247,12229,3690
2019-06-28,12282,12230,1384
2019-06-29,12347,12235,3501
2019-06-30,12385,12242,889
2019-07-01,12258,12243,1981
2019-07-02,12193,12242,3609
2019-07-03,12225,12242,3528
2019-07-04,12304,12243,2179
2019-07-05,12282,12247,3350
2019-07-06,12197,12247,3180
2019-07-07,12207,12246,3852
2019-07-08,12212,12247,2017
2019-07-09,12209,12249,4139
2019-07-10,12231,12252,271
2019-07-11,12246,12251,2043
2019-07-12,12337,12255,3682
2019-07-13,12269,12261,1677
2019-07-14,12203,12261,2213
2019-07-15,12209,12258,1487
2019-07-16,12226,12254,2539
2019-07-17,12259,12252,964
2019-07-18,12129,12246,2238
2019-07-19,12250,12246,3193
2019-07-20,12250,12246,2008
2019-07-21,12286,12249,410
2019-07-22,12228,12251,2539
2019-07-23,12268,12250,2701
2019-07-24,12170,12246,68
2019-07-25,12193,12243,1784
2019-07-26,12244,12244,2847
2019-07-27,12142,12241,3523
2019-07-28,12198,12238,2372
2019-07-29,12284,12236,2128
2019-07-30,12301,12233,3244
2019-07-31,12251,12233,438
2019-08-01,12134,12231,2130
2019-08-02,12192,12230,2479
2019-08-03,12082,12222,5055
2019-08-04,12131,12217,574
2019-08-05,12147,12216,3009
2019-08-06,12159,12214,3224
2019-08-07,12194,12214,1178
2019-08-08,12311,12217,1669
2019-08-09,12264,12218,1768
