Date,Daily Average,Six Month Average,Amount Traded
2019-05-30,32186,32177,46065
2019-05-31,32195,32178,38404
2019-06-01,32155,32177,47143
2019-06-02,32145,32176,45673
2019-06-03,32157,32175,38826
2019-06-04,32158,32174,58276
2019-06-05,32183,32174,7230
2019-06-06,32193,32174,45265
2019-06-07,32180,32174,44930
2019-06-08,32182,32173,59555
2019-06-09,32166,32172,12214
2019-06-10,32181,32172,17886
2019-06-11,32163,32172,65586
2019-06-12,32161,32171,46452
2019-06-13,32175,32170,59287
2019-06-14,32204,32171,57002
2019-06-15,32180,32171,36767
2019-06-16,32182,32170,4403
2019-06-17,32181,32170,53953
2019-06-18,32167,32169,35676
2019-06-19,32166,32169,51839
2019-06-20,32125,32170,76336
2019-06-21,32155,32170,47479
2019-06-22,32161,32170,37053
2019-06-23,32161,32169,241
2019-06-24,32103,32167,43131
2019-06-25,32136,32166,53782
2019-06-26,32148,32166,52287
2019-06-27,32152,32166,62134
2019-06-28,32172,32165,26515
2019-06-29,32176,32165,58412
2019-06-30,32184,32165,13637
2019-07-01,32190,32166,31198
2019-07-02,32194,32167,59398
2019-07-03,32148,32167,58619
2019-07-04,32153,32167,36568
2019-07-05,32159,32166,63348
2019-07-06,32144,32164,47065
2019-07-07,32132,32163,47618
2019-07-08,32155,32162,42634
2019-07-09,32166,32162,64138
2019-07-10,32175,32162,3414
2019-07-11,32174,32162,42201
2019-07-12,32195,32163,75154
2019-07-13,32188,32164,28009
2019-07-14,32179,32163,22921
2019-07-15,32178,32163,28684
2019-07-16,32190,32163,50537
2019-07-17,32194,32164,20421
2019-07-18,32198,32165,45169
2019-07-19,32193,32165,50444
2019-07-20,32116,32165,43769
2019-07-21,32147,32165,8860
2019-07-22,32144,32164,51346
2019-07-23,32135,32163,60607
2019-07-24,32151,32165,1405
2019-07-25,32142,32165,39332
2019-07-26,32156,32166,46408
2019-07-27,32126,32165,59488
2019-07-28,32102,32162,48224
2019-07-29,32090,32159,42083
2019-07-30,32053,32155,68308
2019-07-31,32088,32152,10571
2019-08-01,32105,32149,44235
2019-08-02,32110,32147,48282
2019-08-03,32066,32145,76130
2019-08-04,32096,32142,11558
2019-08-05,32086,32141,62098
2019-08-06,32063,32138,47596
2019-08-07,32093,32136,22137
2019-08-08,32093,32134,37103
2019-08-09,32099,32131,33972
2019-08-10,32091,32128,80919
2019-08-11,32017,32122,33601
2019-08-12,32061,32118,48872
2019-08-13,32050,32114,49452
2019-08-14,32067,32110,53199
2019-08-15,32100,32107,43876
2019-08-16,32128,32105,77587
2019-08-17,32122,32103,21092
2019-08-18,32094,32099,59977
2019-08-19,32124,32099,46033
2019-08-20,32133,32099,38425
2019-08-21,32143,32099,42193
2019-08-22,32141,32099,58498
2019-08-23,32126,32098,34253
2019-08-24,32129,32098,70023
2019-08-25,32134,32097,27648
2019-08-26,32113,32097,54610
2019-08-27,32110,32097,38131
2019-08-28,32142,32099,2773
2019-08-29,32169,32103,2022
2019-08-30,32201,32106,72495
2019-08-31,32126,32107,28020
2019-09-01,32096,32107,19827
2019-09-02,32099,32108,24560
2019-09-03,32127,32109,69999
2019-09-04,32173,32112,19584
2019-09-05,32165,32115,36837
2019-09-06,32176,32118,28745
2019-09-07,32129,32119,67940
2019-09-08,32094,32119,35874
2019-09-09,32135,32120,33772
2019-09-10,32146,32125,31527
2019-09-11,32185,32129,55284
2019-09-12,32180,32133,34829
2019-09-13,32195,32137,38488
2019-09-14,32148,32139,51914
2019-09-15,32102,32138,48535
2019-09-16,32133,32138,53188
2019-09-17,32113,32139,45954
2019-09-18,32140,32140,21108
2019-09-19,32150,32140,36903
2019-09-20,32173,32141,31799
2019-09-21,32140,32141,52975
2019-09-22,32097,32140,47807
2019-09-23,32048,32137,65720
2019-09-24,32080,32136,22718
2019-09-25,32095,32135,56414
2019-09-26,32127,32136,62048
2019-09-27,32127,32135,34379
2019-09-28,31998,32129,57445
2019-09-29,32057,32125,29119
2019-09-30,32085,32123,34843
2019-10-01,32078,32123,20256
2019-10-02,32096,32123,28696
2019-10-03,32103,32122,43106
2019-10-04,32089,32119,41164
2019-10-05,32019,32114,55488
2019-10-06,32025,32109,21128
2019-10-07,32032,32106,39867
2019-10-08,32076,32105,55322
2019-10-09,32088,32104,20949
2019-10-10,32096,32102,55433
2019-10-11,32074,32098,33522
2019-10-12,32040,32094,47681
2019-10-13,32045,32089,5833
2019-10-14,32041,32085,60259
2019-10-15,32065,32084,32126
2019-10-16,32092,32082,12211
2019-10-17,32102,32082,27098
2019-10-18,32102,32081,59727
2019-10-19,32085,32079,61721
2019-10-20,32058,32075,34701
2019-10-21,32074,32073,36170
2019-10-22,32104,32073,39890
2019-10-23,32115,32075,55957
2019-10-24,32101,32076,43552
2019-10-25,32040,32074,49060
2019-10-26,32085,32073,54638
2019-10-27,32110,32072,37188
2019-10-28,32184,32078,58706
2019-10-29,32099,32080,23576
2019-10-30,32110,32080,36636
2019-10-31,32127,32082,44387
2019-11-01,32161,32084,43157
2019-11-02,32094,32084,54095
2019-11-03,32101,32084,14105
2019-11-04,32093,32087,46249
2019-11-05,32091,32089,25125
2019-11-06,32035,32089,40277
2019-11-07,32079,32089,36257
2019-11-08,32076,32089,48138
2019-11-09,32068,32088,55982
2019-11-10,32054,32087,13153
2019-11-11,32087,32089,7188
2019-11-12,32097,32091,30924
2019-11-13,32090,32092,35425
2019-11-14,32078,32093,41469
2019-11-15,32102,32093,52134
2019-11-16,32109,32093,69373
2019-11-17,32083,32093,19114
2019-11-18,32078,32092,56643
2019-11-19,32115,32094,30079
2019-11-20,32117,32096,7947
2019-11-21,32097,32095,25117
2019-11-22,32111,32095,53528
2019-11-23,32068,32094,47593
2019-11-24,32085,32096,41770
2019-11-25,32085,32096,18934
