Date,Daily Average,Six Month Average,Amount Traded
2019-05-30,156,152,58376247
2019-05-31,157,153,47132011
2019-06-01,155,153,64940285
2019-06-02,149,153,68234444
2019-06-03,143,153,51041480
2019-06-04,142,153,83334114
2019-06-05,147,153,8083437
2019-06-06,153,153,59150973
2019-06-07,157,154,63835184
2019-06-08,159,154,92097515
2019-06-09,158,154,14743215
2019-06-10,155,153,23891330
2019-06-11,158,153,93895582
2019-06-12,155,152,61611498
2019-06-13,152,152,81891386
2019-06-14,151,152,83184201
2019-06-15,144,152,52666544
2019-06-16,140,152,5145990
2019-06-17,142,152,68055556
2019-06-18,147,152,44035723
2019-06-19,150,152,64446987
2019-06-20,149,151,90149876
2019-06-21,153,151,54564960
2019-06-22,155,151,48631497
2019-06-23,155,151,377909
2019-06-24,156,151,49312940
2019-06-25,158,151,59903319
2019-06-26,161,151,59435371
2019-06-27,163,152,74174558
2019-06-28,167,152,33582750
2019-06-29,167,153,79554258
2019-06-30,164,153,16906791
2019-07-01,161,153,43027680
2019-07-02,159,154,82085318
2019-07-03,158,154,80448102
2019-07-04,157,155,52304172
2019-07-05,155,155,85842369
2019-07-06,151,155,69305610
2019-07-07,146,154,74305012
2019-07-08,142,154,49272961
2019-07-09,146,153,74611972
2019-07-10,150,153,4085558
2019-07-11,152,153,50417018
2019-07-12,155,153,92025425
2019-07-13,155,153,38912503
2019-07-14,153,153,29988334
2019-07-15,151,153,38702907
2019-07-16,150,154,57041818
2019-07-17,151,154,22795046
2019-07-18,152,154,57938575
2019-07-19,150,154,60836266
2019-07-20,148,154,52475367
2019-07-21,147,154,8085695
2019-07-22,147,154,53934480
2019-07-23,152,154,59888592
2019-07-24,155,154,1964990
2019-07-25,155,154,41113884
2019-07-26,156,153,48234183
2019-07-27,154,153,66625586
2019-07-28,153,153,55739289
2019-07-29,151,152,45817499
2019-07-30,150,152,75083160
2019-07-31,149,151,14011129
2019-08-01,149,151,53661666
2019-08-02,148,151,58069034
2019-08-03,147,150,98800108
2019-08-04,146,150,10191850
2019-08-05,147,150,65100250
2019-08-06,150,150,58194874
2019-08-07,150,150,28589875
2019-08-08,147,150,47412314
2019-08-09,144,150,41956036
2019-08-10,142,150,103695598
2019-08-11,139,149,43553809
2019-08-12,139,149,57102748
2019-08-13,140,148,56548235
2019-08-14,143,148,58254807
2019-08-15,145,148,65961779
2019-08-16,144,147,108215867
2019-08-17,141,147,31264290
2019-08-18,140,147,84723442
2019-08-19,138,146,58185410
2019-08-20,142,146,48614189
2019-08-21,144,146,55976961
2019-08-22,144,146,71797516
2019-08-23,145,146,40790857
2019-08-24,147,145,89638867
2019-08-25,148,145,36719117
2019-08-26,149,145,64507391
2019-08-27,148,145,50424757
2019-08-28,146,145,3135026
2019-08-29,149,145,3074183
2019-08-30,152,145,84142158
2019-08-31,151,145,32858231
2019-09-01,151,145,25486896
2019-09-02,150,145,31842933
2019-09-03,150,145,87373064
2019-09-04,149,145,23478847
2019-09-05,150,145,55584473
2019-09-06,149,145,41371157
2019-09-07,147,145,95815251
2019-09-08,144,145,51669728
2019-09-09,143,145,39557423
2019-09-10,147,145,38946354
2019-09-11,150,146,71520738
2019-09-12,150,146,40621770
2019-09-13,154,146,42304570
2019-09-14,155,147,59469108
2019-09-15,157,147,53706177
2019-09-16,159,148,56223560
2019-09-17,162,149,52775781
2019-09-18,160,149,22154418
2019-09-19,160,150,49497330
2019-09-20,158,150,38928452
2019-09-21,155,151,69727889
2019-09-22,153,151,59674794
2019-09-23,152,151,73921743
2019-09-24,153,151,27021423
2019-09-25,154,151,70641201
2019-09-26,154,152,77376192
2019-09-27,154,152,33763793
2019-09-28,158,152,57293659
2019-09-29,163,153,29683456
2019-09-30,168,153,32251725
2019-10-01,173,154,19054276
2019-10-02,181,155,29028593
2019-10-03,186,156,44439386
2019-10-04,190,157,37917104
2019-10-05,194,159,52933692
2019-10-06,198,161,17697915
2019-10-07,204,162,40413413
2019-10-08,211,165,58701259
2019-10-09,211,167,23610008
2019-10-10,205,169,64362820
2019-10-11,197,170,38650797
2019-10-12,187,172,55915334
2019-10-13,177,172,6430806
2019-10-14,168,173,72487820
2019-10-15,161,173,40107876
2019-10-16,156,173,12671570
2019-10-17,158,173,28807110
2019-10-18,162,173,64743994
2019-10-19,162,173,69665078
2019-10-20,164,173,39814635
2019-10-21,166,174,33857911
2019-10-22,174,174,41375130
2019-10-23,178,175,62022701
2019-10-24,180,176,46148292
2019-10-25,178,177,57766787
2019-10-26,173,177,70822209
2019-10-27,166,178,49819172
2019-10-28,161,178,55821967
2019-10-29,167,178,24715909
2019-10-30,174,178,35296198
2019-10-31,178,178,45674084
2019-11-01,178,178,48613150
2019-11-02,177,178,65869941
2019-11-03,174,177,14579961
2019-11-04,173,177,43802997
2019-11-05,180,176,22693696
2019-11-06,186,176,45011117
2019-11-07,184,175,45039870
2019-11-08,176,174,65804670
2019-11-09,168,172,72977130
2019-11-10,161,171,13339425
2019-11-11,165,170,9694797
2019-11-12,165,170,47441346
2019-11-13,161,170,43001788
2019-11-14,160,170,47634273
2019-11-15,162,170,74465303
2019-11-16,157,170,85040762
2019-11-17,155,170,24093887
2019-11-18,157,169,70856342
2019-11-19,158,169,42057682
2019-11-20,157,169,11748184
2019-11-21,153,168,32822044
2019-11-22,150,167,76351487
2019-11-23,145,166,65331401
2019-11-24,144,165,52741807
2019-11-25,148,164,19757507
