Date,Daily Average,Six Month Average,Amount Traded,Nature Rune Daily Average
5/30/2019,206,216,45984668,156
5/31/2019,205,215,37750413,157
6/1/2019,203,215,46961385,155
6/2/2019,200,214,47700590,149
6/3/2019,200,214,37349034,143
6/4/2019,206,213,62648826,142
6/5/2019,211,213,7254279,147
6/6/2019,213,213,46602224,153
6/7/2019,213,212,43790296,157
6/8/2019,213,212,58295105,159
6/9/2019,209,212,9796115,158
6/10/2019,209,212,15697701,155
6/11/2019,211,212,57142373,158
6/12/2019,212,212,39442403,155
6/13/2019,213,211,51341651,152
6/14/2019,214,211,49969578,151
6/15/2019,212,211,33843599,144
6/16/2019,211,211,4055688,140
6/17/2019,211,211,50681720,142
6/18/2019,210,211,33037475,147
6/19/2019,211,210,43464189,150
6/20/2019,211,210,66228006,149
6/21/2019,212,210,39645016,153
6/22/2019,212,210,36722487,155
6/23/2019,210,209,185154,155
6/24/2019,210,209,40824277,156
6/25/2019,208,209,50402647,158
6/26/2019,206,209,47001934,161
6/27/2019,205,209,56810774,163
6/28/2019,206,209,25737020,167
6/29/2019,205,209,55153063,167
6/30/2019,205,209,11729769,164
7/1/2019,207,209,28456527,161
7/2/2019,207,209,56664049,159
7/3/2019,208,209,51476030,158
7/4/2019,208,209,34644002,157
7/5/2019,205,209,55125389,155
7/6/2019,204,209,47648589,151
7/7/2019,202,208,45141705,146
7/8/2019,202,208,38357115,142
7/9/2019,203,208,58133186,146
7/10/2019,205,208,2904320,150
7/11/2019,206,208,38041330,152
7/12/2019,206,207,61472735,155
7/13/2019,206,207,26982150,155
7/14/2019,204,207,18337620,153
7/15/2019,205,207,27573392,151
7/16/2019,206,206,40097442,150
7/17/2019,208,206,15202956,151
7/18/2019,209,206,34622419,152
7/19/2019,210,206,34462494,150
7/20/2019,211,206,36265207,148
7/21/2019,210,206,6533675,147
7/22/2019,211,206,39836059,147
7/23/2019,214,206,48446103,152
7/24/2019,215,206,1560112,155
7/25/2019,214,207,31892718,155
7/26/2019,214,207,34677276,156
7/27/2019,214,207,49308680,154
7/28/2019,212,207,39006437,153
7/29/2019,211,208,32573490,151
7/30/2019,211,208,50062419,150
7/31/2019,211,208,10221640,149
8/1/2019,208,208,39457926,149
8/2/2019,206,208,39273300,148
8/3/2019,205,208,68625275,147
8/4/2019,205,208,8089058,146
8/5/2019,208,208,51089494,147
8/6/2019,208,208,44247356,150
8/7/2019,208,208,18541934,150
8/8/2019,208,208,31279849,147
8/9/2019,208,209,30683630,144
8/10/2019,209,209,69140087,142
8/11/2019,210,209,28999601,139
8/12/2019,211,209,40426182,139
8/13/2019,213,209,36181075,140
8/14/2019,212,210,43040992,143
8/15/2019,212,210,41347850,145
8/16/2019,211,210,70710251,144
8/17/2019,210,210,19964688,141
8/18/2019,210,210,52898374,140
8/19/2019,213,210,41625350,138
8/20/2019,213,210,34225454,142
8/21/2019,213,210,39524397,144
8/22/2019,213,210,47335515,144
8/23/2019,213,210,30670708,145
8/24/2019,213,210,63858364,147
8/25/2019,213,210,26526048,148
8/26/2019,213,210,46695983,149
8/27/2019,213,210,33226038,148
8/28/2019,213,210,2742265,146
8/29/2019,212,210,2252993,149
8/30/2019,211,210,65067260,152
8/31/2019,208,210,28071114,151
9/1/2019,204,210,16875180,151
9/2/2019,204,210,23453969,150
9/3/2019,204,210,67645690,150
9/4/2019,206,210,16484921,149
9/5/2019,209,210,36270879,150
9/6/2019,210,210,27250300,149
9/7/2019,209,210,63239283,147
9/8/2019,208,210,34554772,144
9/9/2019,207,210,30793213,143
9/10/2019,207,210,30917166,147
9/11/2019,207,210,53542358,150
9/12/2019,206,209,31180725,150
9/13/2019,206,209,31348118,154
9/14/2019,207,209,42781029,155
9/15/2019,210,209,38478092,157
9/16/2019,213,209,45618896,159
9/17/2019,217,209,38979295,162
9/18/2019,218,210,15544782,160
9/19/2019,217,210,31715576,160
9/20/2019,215,210,25519734,158
9/21/2019,213,210,44146531,155
9/22/2019,212,210,37287349,153
9/23/2019,214,210,46361760,152
9/24/2019,219,210,17213550,153
9/25/2019,225,210,43821747,154
9/26/2019,225,211,48236718,154
9/27/2019,225,211,25208804,154
9/28/2019,224,212,43045626,158
9/29/2019,223,212,21141748,163
9/30/2019,224,212,25377198,168
10/1/2019,224,213,12760633,173
10/2/2019,227,214,23159497,181
10/3/2019,231,215,31214897,186
10/4/2019,237,216,27340544,190
10/5/2019,239,217,39794445,194
10/6/2019,241,218,14617643,198
10/7/2019,244,219,30200183,204
10/8/2019,252,220,45241266,211
10/9/2019,250,222,18922624,211
10/10/2019,247,223,44762399,205
10/11/2019,243,224,24976585,197
10/12/2019,242,226,36088467,187
10/13/2019,239,227,4171035,177
10/14/2019,238,228,44110002,168
10/15/2019,241,229,25407602,161
10/16/2019,241,230,8254852,156
10/17/2019,241,231,19817961,158
10/18/2019,240,231,43557593,162
10/19/2019,238,232,45506067,162
10/20/2019,237,233,26183729,164
10/21/2019,237,234,26971702,166
10/22/2019,236,234,30779647,174
10/23/2019,234,235,44005782,178
10/24/2019,233,235,32208649,180
10/25/2019,230,236,38014929,178
10/26/2019,226,236,43356733,173
10/27/2019,222,236,31089320,166
10/28/2019,224,236,45702476,161
10/29/2019,226,236,20369234,167
10/30/2019,226,236,26133921,174
10/31/2019,227,236,31981025,178
11/1/2019,228,236,33982476,178
11/2/2019,226,236,40247179,177
11/3/2019,227,235,10107292,174
11/4/2019,229,235,36287191,173
11/5/2019,232,235,19373020,180
11/6/2019,232,234,32119642,186
11/7/2019,231,234,26061533,184
11/8/2019,230,233,39244594,176
11/9/2019,228,232,42322664,168
11/10/2019,227,232,10147408,161
11/11/2019,229,231,6274341,165
11/12/2019,231,231,29242562,165
11/13/2019,235,231,28925887,161
11/14/2019,234,231,32052103,160
11/15/2019,233,230,42034124,162
11/16/2019,230,230,58396389,157
11/17/2019,225,230,15939743,155
11/18/2019,225,229,50043634,157
11/19/2019,224,229,24195403,158
11/20/2019,224,228,6843775,157
11/21/2019,223,228,19833298,153
11/22/2019,222,227,48058113,150
11/23/2019,220,227,43714545,145
11/24/2019,218,227,41278241,144
11/25/2019,216,226,18444384,148
