Date,Daily Average,Six Month Average,Amount Traded
2019-05-30,22635,22614,13416
2019-05-31,22644,22615,11152
2019-06-01,22662,22617,16823
2019-06-02,22605,22617,18295
2019-06-03,22588,22616,12744
2019-06-04,22623,22617,21688
2019-06-05,22595,22616,2317
2019-06-06,22608,22615,16099
2019-06-07,22615,22615,14072
2019-06-08,22649,22615,21875
2019-06-09,22606,22614,4582
2019-06-10,22654,22614,7185
2019-06-11,22545,22611,20047
2019-06-12,22612,22611,14071
2019-06-13,22620,22611,20562
2019-06-14,22613,22610,18111
2019-06-15,22602,22608,12983
2019-06-16,22576,22606,1697
2019-06-17,22590,22605,17383
2019-06-18,22621,22607,12181
2019-06-19,22592,22607,15798
2019-06-20,22598,22608,23979
2019-06-21,22599,22608,15405
2019-06-22,22577,22606,13091
2019-06-23,22601,22605,98
2019-06-24,22606,22606,14442
2019-06-25,22588,22605,16507
2019-06-26,22601,22606,14697
2019-06-27,22589,22606,18313
2019-06-28,22622,22607,8781
2019-06-29,22613,22607,19629
2019-06-30,22624,22606,3726
2019-07-01,22637,22605,10827
2019-07-02,22650,22607,17726
2019-07-03,22653,22609,17957
2019-07-04,22595,22608,13306
2019-07-05,22551,22606,20609
2019-07-06,22567,22605,17952
2019-07-07,22530,22602,16694
2019-07-08,22586,22600,12866
2019-07-09,22624,22601,20340
2019-07-10,22597,22599,1006
2019-07-11,22614,22601,13699
2019-07-12,22630,22602,25085
2019-07-13,22613,22601,9979
2019-07-14,22583,22600,6775
2019-07-15,22611,22601,10619
2019-07-16,22609,22602,16223
2019-07-17,22618,22603,6937
2019-07-18,22643,22604,12643
2019-07-19,22635,22605,14110
2019-07-20,22627,22606,15017
2019-07-21,22576,22605,2820
2019-07-22,22547,22604,16751
2019-07-23,22598,22604,18845
2019-07-24,22593,22604,309
2019-07-25,22549,22602,11759
2019-07-26,22571,22601,12186
2019-07-27,22576,22601,18646
2019-07-28,22464,22596,15777
2019-07-29,22473,22591,13605
2019-07-30,22522,22588,18552
2019-07-31,22565,22585,2741
2019-08-01,22570,22583,12865
2019-08-02,22546,22579,13940
2019-08-03,22516,22576,27358
2019-08-04,22467,22574,3503
2019-08-05,22491,22571,19023
2019-08-06,22441,22568,17406
2019-08-07,22509,22565,8433
2019-08-08,22547,22563,13449
2019-08-09,22522,22560,10690
2019-08-10,22569,22559,26581
2019-08-11,22498,22554,13698
2019-08-12,22426,22548,16706
2019-08-13,22495,22545,14496
2019-08-14,22528,22543,14792
2019-08-15,22554,22541,15234
2019-08-16,22564,22539,24703
2019-08-17,22574,22537,8531
2019-08-18,22503,22532,21867
2019-08-19,22545,22529,15898
2019-08-20,22530,22528,13704
2019-08-21,22549,22528,13013
2019-08-22,22585,22528,19479
2019-08-23,22552,22526,11174
2019-08-24,22580,22527,26077
2019-08-25,22518,22525,10380
2019-08-26,22546,22524,18152
2019-08-27,22565,22528,12041
2019-08-28,22580,22531,808
2019-08-29,22592,22534,405
2019-08-30,22598,22535,22016
2019-08-31,22567,22535,8657
2019-09-01,22530,22534,6886
2019-09-02,22523,22534,8431
2019-09-03,22559,22538,20363
2019-09-04,22581,22541,5592
2019-09-05,22585,22545,12477
2019-09-06,22578,22548,9508
2019-09-07,22540,22547,20422
2019-09-08,22577,22549,11865
2019-09-09,22551,22549,10872
2019-09-10,22575,22551,10886
2019-09-11,22583,22556,16351
2019-09-12,22626,22561,10746
2019-09-13,22627,22564,12069
2019-09-14,22507,22563,14956
2019-09-15,22597,22564,16378
2019-09-16,22580,22564,15690
2019-09-17,22563,22566,12572
2019-09-18,22597,22568,6387
2019-09-19,22521,22567,10275
2019-09-20,22552,22567,10814
2019-09-21,22520,22565,17073
2019-09-22,22563,22566,16759
2019-09-23,22494,22563,20176
2019-09-24,22530,22563,8368
2019-09-25,22544,22563,16023
2019-09-26,22585,22564,18773
2019-09-27,22591,22564,9526
2019-09-28,22594,22564,19417
2019-09-29,22529,22562,10820
2019-09-30,22330,22554,12104
2019-10-01,22493,22553,6446
2019-10-02,22527,22553,8999
2019-10-03,22535,22552,14074
2019-10-04,22541,22551,12937
2019-10-05,22547,22549,20295
2019-10-06,22450,22545,7389
2019-10-07,22513,22544,13340
2019-10-08,22442,22540,19619
2019-10-09,22504,22538,7703
2019-10-10,22486,22535,16438
2019-10-11,22525,22533,13677
2019-10-12,22459,22528,18297
2019-10-13,22431,22521,1801
2019-10-14,22502,22521,21428
2019-10-15,22550,22519,12341
2019-10-16,22575,22519,4399
2019-10-17,22549,22519,10709
2019-10-18,22461,22514,20288
2019-10-19,22520,22514,24417
2019-10-20,22467,22511,12666
2019-10-21,22437,22509,12285
2019-10-22,22524,22507,12793
2019-10-23,22574,22510,18240
2019-10-24,22594,22512,14303
2019-10-25,22544,22512,16907
2019-10-26,22558,22511,20532
2019-10-27,22546,22510,15591
2019-10-28,22446,22505,17484
2019-10-29,22544,22505,8966
2019-10-30,22562,22513,10120
2019-10-31,22608,22517,13659
2019-11-01,22639,22521,15342
2019-11-02,22561,22521,20002
2019-11-03,22490,22520,5138
2019-11-04,22491,22518,16703
2019-11-05,22534,22521,7502
2019-11-06,22595,22523,11622
2019-11-07,22539,22527,12426
2019-11-08,22364,22522,15308
2019-11-09,22480,22522,21375
2019-11-10,22436,22519,4062
2019-11-11,22494,22520,2322
2019-11-12,22520,22523,11442
2019-11-13,22514,22523,12648
2019-11-14,22463,22520,13362
2019-11-15,22523,22519,18968
2019-11-16,22447,22515,26802
2019-11-17,22481,22516,8005
2019-11-18,22429,22513,17741
2019-11-19,22461,22513,10675
2019-11-20,22468,22514,2051
2019-11-21,22540,22514,7557
2019-11-22,22530,22513,16830
2019-11-23,22527,22511,16726
2019-11-24,22482,22509,15871
2019-11-25,22505,22507,6731
