Date,Daily Average,Six Month Average,Amount Traded
2019-05-30,59411,59409,13355
2019-05-31,59374,59406,10040
2019-06-01,59403,59403,13705
2019-06-02,59433,59403,13324
2019-06-03,59446,59403,11127
2019-06-04,59456,59404,18466
2019-06-05,59478,59407,2339
2019-06-06,59384,59406,13184
2019-06-07,59441,59408,13585
2019-06-08,59448,59410,17386
2019-06-09,59422,59411,3478
2019-06-10,59425,59413,4950
2019-06-11,59422,59416,18669
2019-06-12,59416,59417,12810
2019-06-13,59437,59418,17112
2019-06-14,59454,59418,15267
2019-06-15,59411,59417,10264
2019-06-16,59441,59418,1157
2019-06-17,59487,59422,15774
2019-06-18,59502,59426,9862
2019-06-19,59490,59428,14741
2019-06-20,59452,59429,21912
2019-06-21,59460,59429,12335
2019-06-22,59433,59429,10244
2019-06-23,59424,59429,54
2019-06-24,59404,59429,12210
2019-06-25,59415,59430,16635
2019-06-26,59411,59431,13645
2019-06-27,59354,59431,18325
2019-06-28,59407,59431,7484
2019-06-29,59461,59433,17493
2019-06-30,59421,59434,3959
2019-07-01,59426,59435,9117
2019-07-02,59419,59434,16914
2019-07-03,59398,59433,17073
2019-07-04,59385,59430,10658
2019-07-05,59383,59427,18918
2019-07-06,59385,59427,12993
2019-07-07,59410,59426,13097
2019-07-08,59429,59426,11579
2019-07-09,59470,59427,18418
2019-07-10,59489,59429,1045
2019-07-11,59451,59430,12099
2019-07-12,59470,59432,22397
2019-07-13,59469,59433,8101
2019-07-14,59468,59434,7013
2019-07-15,59456,59435,7931
2019-07-16,59479,59436,14241
2019-07-17,59447,59435,6302
2019-07-18,59425,59433,13447
2019-07-19,59453,59431,14394
2019-07-20,59401,59430,12739
2019-07-21,59435,59429,2452
2019-07-22,59413,59428,13569
2019-07-23,59429,59428,16919
2019-07-24,59398,59428,457
2019-07-25,59379,59427,11603
2019-07-26,59283,59423,12799
2019-07-27,59326,59422,18149
2019-07-28,59293,59418,13294
2019-07-29,59261,59411,12285
2019-07-30,59278,59406,18401
2019-07-31,59327,59403,3457
2019-08-01,59296,59399,12809
2019-08-02,59347,59397,14043
2019-08-03,59352,59396,21747
2019-08-04,59356,59395,3066
2019-08-05,59366,59395,17088
2019-08-06,59336,59392,12981
2019-08-07,59372,59390,6320
2019-08-08,59376,59387,10287
2019-08-09,59387,59384,9778
2019-08-10,59354,59381,22269
2019-08-11,59352,59377,9182
2019-08-12,59363,59373,13530
2019-08-13,59344,59369,12941
2019-08-14,59366,59366,14116
2019-08-15,59372,59362,13289
2019-08-16,59424,59362,22904
2019-08-17,59413,59361,5504
2019-08-18,59404,59360,17634
2019-08-19,59352,59358,13239
2019-08-20,59357,59355,11535
2019-08-21,59377,59354,12370
2019-08-22,59395,59353,17517
2019-08-23,59392,59353,10396
2019-08-24,59381,59353,21136
2019-08-25,59256,59352,7474
2019-08-26,59322,59352,15737
2019-08-27,59307,59352,11384
2019-08-28,59326,59355,925
2019-08-29,59347,59357,639
2019-08-30,59375,59358,21456
2019-08-31,59418,59362,7534
2019-09-01,59407,59364,5791
2019-09-02,59382,59365,7245
2019-09-03,59369,59366,20902
2019-09-04,59337,59365,6219
2019-09-05,59343,59365,11314
2019-09-06,59362,59365,8494
2019-09-07,59379,59365,19291
2019-09-08,59388,59365,9867
2019-09-09,59395,59366,9890
2019-09-10,59427,59369,10034
2019-09-11,59289,59366,16775
2019-09-12,59360,59367,11214
2019-09-13,59352,59366,11455
2019-09-14,59372,59366,15266
2019-09-15,59351,59364,13370
2019-09-16,59344,59362,15161
2019-09-17,59367,59360,12892
2019-09-18,59336,59360,6388
2019-09-19,59341,59359,10825
2019-09-20,59406,59360,8551
2019-09-21,59341,59359,14567
2019-09-22,59284,59355,13448
2019-09-23,59190,59349,18552
2019-09-24,59256,59349,6669
2019-09-25,59296,59348,16676
2019-09-26,59339,59349,19573
2019-09-27,59303,59348,11779
2019-09-28,58562,59322,15934
2019-09-29,59009,59310,8039
2019-09-30,59138,59300,11075
2019-10-01,59209,59294,6499
2019-10-02,59264,59290,8297
2019-10-03,59280,59287,12545
2019-10-04,59309,59286,11731
2019-10-05,59340,59286,14758
2019-10-06,59378,59286,5820
2019-10-07,59320,59284,11378
2019-10-08,59276,59281,16484
2019-10-09,59197,59274,6327
2019-10-10,59294,59270,17011
2019-10-11,59309,59270,9921
2019-10-12,59305,59268,14162
2019-10-13,59204,59264,1666
2019-10-14,59261,59260,16419
2019-10-15,59325,59259,9756
2019-10-16,59309,59258,3979
2019-10-17,59309,59256,7747
2019-10-18,59333,59256,17551
2019-10-19,59318,59255,16912
2019-10-20,59337,59253,9266
2019-10-21,59328,59252,10550
2019-10-22,59301,59253,12644
2019-10-23,59310,59257,15888
2019-10-24,59330,59259,12260
2019-10-25,59333,59261,13852
2019-10-26,59248,59257,16273
2019-10-27,59221,59255,11566
2019-10-28,59252,59278,17307
2019-10-29,59277,59287,6715
2019-10-30,59278,59291,10202
2019-10-31,59310,59295,13660
2019-11-01,59331,59297,12746
2019-11-02,59329,59299,15103
2019-11-03,59322,59299,4046
2019-11-04,59335,59299,13990
2019-11-05,59261,59295,7010
2019-11-06,59392,59297,11726
2019-11-07,59394,59301,10876
2019-11-08,59335,59306,14521
2019-11-09,59349,59308,15938
2019-11-10,59276,59307,3524
2019-11-11,59284,59306,2078
2019-11-12,59348,59311,8878
2019-11-13,59326,59313,9765
2019-11-14,59259,59311,12295
2019-11-15,59301,59310,14761
2019-11-16,59322,59311,18585
2019-11-17,59173,59306,5151
2019-11-18,59162,59300,16645
2019-11-19,59199,59296,9344
2019-11-20,59219,59292,2533
2019-11-21,59207,59289,6553
2019-11-22,59263,59287,14767
2019-11-23,59253,59285,12821
2019-11-24,59281,59283,12699
2019-11-25,59200,59281,5577
