Date,Daily Average,Six Month Average,Amount Traded,Nature Rune Daily Average,Profit From High Alch
11/3/2019,58982,59041,2827,174,844
11/4/2019,59035,59043,8297,173,792
11/5/2019,59114,59049,4008,180,706
11/6/2019,59121,59054,6630,186,693
11/7/2019,59169,59058,5734,184,647
11/8/2019,59166,59058,8732,176,658
11/9/2019,59119,59060,10685,168,713
11/10/2019,59045,59058,2060,161,794
11/11/2019,59004,59055,1225,165,831
11/12/2019,59144,59058,5455,165,691
11/13/2019,59205,59066,5932,161,634
11/14/2019,59147,59066,7091,160,693
11/15/2019,59084,59065,9246,162,754
11/16/2019,59001,59062,11965,157,842
11/17/2019,58835,59053,3163,155,1010
11/18/2019,59045,59054,9935,157,798
11/19/2019,59137,59063,5765,158,705
11/20/2019,59134,59080,1374,157,709
11/21/2019,59114,59085,4172,153,733
11/22/2019,59027,59086,9955,150,823
11/23/2019,58745,59077,9435,145,1110
11/24/2019,58790,59067,9346,144,1066
11/25/2019,58637,59051,3310,148,1215
