Date,Daily Average,Six Month Average,Amount Traded,Nature Rune Daily Average
5/30/2019,124,123,35415846,156
5/31/2019,124,123,24686258,157
6/1/2019,124,123,32597969,155
6/2/2019,123,123,35259600,149
6/3/2019,123,122,28280003,143
6/4/2019,122,122,45908540,142
6/5/2019,122,122,5837603,147
6/6/2019,123,122,33694839,153
6/7/2019,123,122,35673820,157
6/8/2019,123,122,44248372,159
6/9/2019,123,122,8026473,158
6/10/2019,123,122,12355532,155
6/11/2019,123,122,42588323,158
6/12/2019,123,122,31188851,155
6/13/2019,123,122,38577999,152
6/14/2019,125,123,41468740,151
6/15/2019,123,123,24778564,144
6/16/2019,123,123,2732062,140
6/17/2019,123,123,35849528,142
6/18/2019,123,123,22883514,147
6/19/2019,124,123,32417252,150
6/20/2019,125,123,50882906,149
6/21/2019,126,123,30067441,153
6/22/2019,128,123,26214366,155
6/23/2019,130,123,211552,155
6/24/2019,129,124,27737045,156
6/25/2019,126,124,33831916,158
6/26/2019,125,124,29782313,161
6/27/2019,125,124,40870080,163
6/28/2019,125,124,17709339,167
6/29/2019,126,124,39106911,167
6/30/2019,126,124,8616056,164
7/1/2019,127,124,21526254,161
7/2/2019,126,124,40844913,159
7/3/2019,126,124,39068200,158
7/4/2019,127,124,25262725,157
7/5/2019,127,124,43207791,155
7/6/2019,128,125,31599329,151
7/7/2019,129,125,32837294,146
7/8/2019,131,125,28349922,142
7/9/2019,130,125,45240749,146
7/10/2019,128,126,2030225,150
7/11/2019,128,126,29766852,152
7/12/2019,128,126,49475062,155
7/13/2019,128,126,20038102,155
7/14/2019,124,126,14851856,153
7/15/2019,121,126,19194320,151
7/16/2019,121,126,31044046,150
7/17/2019,121,126,13549417,151
7/18/2019,122,126,27988573,152
7/19/2019,120,126,28002690,150
7/20/2019,121,125,28060453,148
7/21/2019,120,125,4538453,147
7/22/2019,119,125,33571897,147
7/23/2019,119,125,36296469,152
7/24/2019,120,124,957100,155
7/25/2019,120,124,25107149,155
7/26/2019,120,124,28452335,156
7/27/2019,119,124,39526466,154
7/28/2019,119,124,32861180,153
7/29/2019,119,123,28286726,151
7/30/2019,117,123,40647148,150
7/31/2019,115,123,7164222,149
8/1/2019,113,122,27969869,149
8/2/2019,111,122,32414698,148
8/3/2019,108,121,53453081,147
8/4/2019,107,120,6221693,146
8/5/2019,106,120,38692558,147
8/6/2019,106,119,29420309,150
8/7/2019,107,118,15751779,150
8/8/2019,106,117,22841385,147
8/9/2019,107,117,22703187,144
8/10/2019,107,116,54560019,142
8/11/2019,106,115,22236215,139
8/12/2019,104,114,32362087,139
8/13/2019,104,114,29440149,140
8/14/2019,103,113,31520701,143
8/15/2019,103,112,31964109,145
8/16/2019,102,112,53268367,144
8/17/2019,102,111,15267563,141
8/18/2019,100,111,41420596,140
8/19/2019,99,110,32418350,138
8/20/2019,100,109,26728113,142
8/21/2019,100,108,29291623,144
8/22/2019,102,108,38343658,144
8/23/2019,104,107,22594823,145
8/24/2019,107,107,48682566,147
8/25/2019,109,107,20466982,148
8/26/2019,105,106,37507124,149
8/27/2019,102,106,26905793,148
8/28/2019,103,105,2012410,146
8/29/2019,103,105,1575705,149
8/30/2019,102,104,46115623,152
8/31/2019,102,104,19380814,151
9/1/2019,101,103,13463816,151
9/2/2019,100,103,18660505,150
9/3/2019,101,103,48586607,150
9/4/2019,100,103,12565852,149
9/5/2019,101,103,26614618,150
9/6/2019,102,102,21560888,149
9/7/2019,103,102,46412795,147
9/8/2019,101,102,26094070,144
9/9/2019,99,102,22903210,143
9/10/2019,99,102,23215403,147
9/11/2019,99,101,40018700,150
9/12/2019,98,101,25729658,150
9/13/2019,98,101,25735479,154
9/14/2019,98,101,36811484,155
9/15/2019,98,101,33431588,157
9/16/2019,97,101,37032645,159
9/17/2019,96,100,31479594,162
9/18/2019,96,100,13578308,160
9/19/2019,95,100,25639011,160
9/20/2019,94,100,20885633,158
9/21/2019,95,100,34301582,155
9/22/2019,95,99,30684047,153
9/23/2019,94,99,42632428,152
9/24/2019,94,99,15048958,153
9/25/2019,93,98,37109814,154
9/26/2019,92,98,40953676,154
9/27/2019,91,97,18984271,154
9/28/2019,92,97,36630302,158
9/29/2019,92,97,18413755,163
9/30/2019,89,96,23612399,168
10/1/2019,87,96,12271155,173
10/2/2019,87,95,19094698,181
10/3/2019,88,95,28476351,186
10/4/2019,90,95,25573976,190
10/5/2019,91,94,34060880,194
10/6/2019,92,94,13381154,198
10/7/2019,91,94,28149246,204
10/8/2019,90,93,36683490,211
10/9/2019,90,93,14282879,211
10/10/2019,91,93,34629746,205
10/11/2019,92,92,20785811,197
10/12/2019,92,92,29286064,187
10/13/2019,91,92,2991183,177
10/14/2019,89,92,38800714,168
10/15/2019,88,91,20936547,161
10/16/2019,87,91,6954068,156
10/17/2019,86,91,17724461,158
10/18/2019,86,90,37354101,162
10/19/2019,86,90,38824516,162
10/20/2019,85,90,21731232,164
10/21/2019,85,89,24438786,166
10/22/2019,85,89,27423354,174
10/23/2019,85,89,35613391,178
10/24/2019,85,88,26637713,180
10/25/2019,85,88,30631226,178
10/26/2019,84,88,37713271,173
10/27/2019,83,88,26427616,166
10/28/2019,82,87,37185444,161
10/29/2019,81,87,16244908,167
10/30/2019,79,87,22230898,174
10/31/2019,78,86,28430582,178
11/1/2019,77,86,27796919,178
11/2/2019,77,86,36774291,177
11/3/2019,76,85,9766608,174
11/4/2019,74,85,30904142,173
11/5/2019,73,84,16305289,180
11/6/2019,72,83,26316649,186
11/7/2019,71,83,22376576,184
11/8/2019,71,82,32133491,176
11/9/2019,71,81,35518082,168
11/10/2019,70,81,8148818,161
11/11/2019,69,80,5470626,165
11/12/2019,69,79,21066067,165
11/13/2019,69,78,22634620,161
11/14/2019,69,78,24088267,160
11/15/2019,70,77,33607512,162
11/16/2019,71,77,41822831,157
11/17/2019,71,76,13011496,155
