Date,Daily Average,Six Month Average,Amount Traded
2019-05-30,15090,15068,29945
2019-05-31,15069,15068,22109
2019-06-01,15079,15068,31689
2019-06-02,15061,15066,33489
2019-06-03,15038,15064,23111
2019-06-04,15068,15063,36116
2019-06-05,15076,15064,4248
2019-06-06,15086,15065,28799
2019-06-07,15102,15067,30298
2019-06-08,15078,15068,43501
2019-06-09,15075,15069,9249
2019-06-10,15054,15069,11052
2019-06-11,15071,15069,40028
2019-06-12,15082,15070,27163
2019-06-13,15063,15069,36683
2019-06-14,15087,15069,34446
2019-06-15,15078,15069,24749
2019-06-16,15104,15069,2314
2019-06-17,15089,15069,31408
2019-06-18,15099,15070,20695
2019-06-19,15097,15071,27114
2019-06-20,15143,15073,42562
2019-06-21,15077,15075,27006
2019-06-22,15028,15074,24306
2019-06-23,15043,15074,106
2019-06-24,15043,15074,25304
2019-06-25,15071,15075,30845
2019-06-26,15075,15075,27342
2019-06-27,15097,15076,38478
2019-06-28,15098,15077,15643
2019-06-29,15126,15078,38887
2019-06-30,15102,15079,8196
2019-07-01,15077,15079,19968
2019-07-02,15099,15080,37923
2019-07-03,15120,15083,35140
2019-07-04,15066,15083,22887
2019-07-05,15072,15083,36587
2019-07-06,15068,15082,29305
2019-07-07,15096,15082,30540
2019-07-08,15086,15082,24702
2019-07-09,15116,15084,34193
2019-07-10,15105,15085,1570
2019-07-11,15095,15086,22032
2019-07-12,15106,15087,48060
2019-07-13,15069,15087,17634
2019-07-14,15085,15087,13252
2019-07-15,15053,15086,16333
2019-07-16,15081,15086,28835
2019-07-17,15090,15086,11048
2019-07-18,15082,15085,26861
2019-07-19,15051,15084,24426
2019-07-20,15063,15081,23165
2019-07-21,15110,15082,3717
2019-07-22,15068,15083,30940
2019-07-23,15042,15083,34248
2019-07-24,15051,15084,593
2019-07-25,15069,15083,22870
2019-07-26,15059,15083,25204
2019-07-27,15062,15082,36775
2019-07-28,15035,15080,30805
2019-07-29,15017,15076,23908
2019-07-30,15033,15074,33898
2019-07-31,15056,15073,6909
2019-08-01,15059,15072,24765
2019-08-02,15060,15070,26834
2019-08-03,15027,15068,59019
2019-08-04,14911,15063,7671
2019-08-05,14918,15058,36295
2019-08-06,14975,15054,30521
2019-08-07,14996,15051,12698
2019-08-08,15017,15048,20887
2019-08-09,15027,15045,20210
2019-08-10,15016,15042,49577
2019-08-11,14998,15039,21677
2019-08-12,14993,15036,28142
2019-08-13,15013,15034,28067
2019-08-14,15026,15033,26954
2019-08-15,15122,15034,27922
2019-08-16,15052,15033,46815
2019-08-17,15038,15032,14690
2019-08-18,15015,15030,40138
2019-08-19,14979,15028,26747
2019-08-20,15006,15024,23653
2019-08-21,15026,15023,28264
2019-08-22,14975,15021,35560
2019-08-23,15005,15019,19989
2019-08-24,15054,15019,44289
2019-08-25,15055,15018,16739
2019-08-26,15071,15019,29487
2019-08-27,15063,15020,19972
2019-08-28,15082,15022,1653
2019-08-29,15126,15025,1862
2019-08-30,15108,15027,40297
2019-08-31,15023,15025,16651
2019-09-01,14996,15023,10908
2019-09-02,15006,15023,16301
2019-09-03,15021,15026,42639
2019-09-04,15030,15030,10672
2019-09-05,15067,15033,22886
2019-09-06,15065,15035,19002
2019-09-07,15029,15036,40862
2019-09-08,15055,15037,23316
2019-09-09,15044,15038,20774
2019-09-10,15024,15038,20939
2019-09-11,15019,15039,40402
2019-09-12,15021,15040,23326
2019-09-13,15049,15040,27549
2019-09-14,15022,15037,34355
2019-09-15,15037,15037,33565
2019-09-16,15025,15036,33114
2019-09-17,15037,15037,25268
2019-09-18,15067,15040,11358
2019-09-19,15007,15040,24898
2019-09-20,14996,15039,19912
2019-09-21,15016,15040,35651
2019-09-22,15001,15040,30370
2019-09-23,14936,15036,37362
2019-09-24,14996,15034,14109
2019-09-25,14998,15032,35729
2019-09-26,14983,15029,49412
2019-09-27,14918,15024,22948
2019-09-28,14942,15017,45802
2019-09-29,14935,15012,19582
2019-09-30,14927,15008,24821
2019-10-01,14946,15007,11178
2019-10-02,14972,15006,17517
2019-10-03,14990,15005,26657
2019-10-04,15001,15004,29583
2019-10-05,14945,15000,35964
2019-10-06,15010,14998,15330
2019-10-07,15015,14997,24159
2019-10-08,15010,14996,34561
2019-10-09,15015,14995,13921
2019-10-10,14986,14994,33299
2019-10-11,14991,14993,20479
2019-10-12,15013,14992,30050
2019-10-13,14998,14991,3568
2019-10-14,15021,14991,35186
2019-10-15,15034,14991,19316
2019-10-16,15041,14991,8169
2019-10-17,15031,14991,16478
2019-10-18,15039,14990,34462
2019-10-19,15011,14990,43804
2019-10-20,14985,14990,23078
2019-10-21,14974,14988,23255
2019-10-22,15001,14988,25202
2019-10-23,15028,14991,38171
2019-10-24,15019,14992,24508
2019-10-25,15077,14995,27871
2019-10-26,15055,14997,38545
2019-10-27,15043,15001,24834
2019-10-28,15118,15007,34843
2019-10-29,15073,15012,14630
2019-10-30,15048,15016,21888
2019-10-31,15061,15020,30263
2019-11-01,15070,15023,32978
2019-11-02,14953,15022,38767
2019-11-03,14970,15021,12173
2019-11-04,14982,15022,30479
2019-11-05,14962,15020,15552
2019-11-06,15013,15020,24774
2019-11-07,15011,15020,21011
2019-11-08,15024,15021,29772
2019-11-09,15007,15021,38193
2019-11-10,15012,15022,7709
2019-11-11,14924,15019,4065
2019-11-12,14930,15017,18642
2019-11-13,15002,15016,23430
2019-11-14,15030,15016,26832
2019-11-15,15046,15016,32135
2019-11-16,15029,15016,44512
2019-11-17,15045,15016,12210
2019-11-18,15006,15016,37218
2019-11-19,14967,15016,17553
2019-11-20,14988,15016,5015
2019-11-21,14989,15016,18137
2019-11-22,14973,15014,30200
2019-11-23,14999,15013,31567
2019-11-24,15022,15011,32450
2019-11-25,14948,15008,12845
