Date,Daily Average,Six Month Average,Amount Traded
2019-05-30,8325,8295,4132127
2019-05-31,8340,8291,3306456
2019-06-01,8375,8288,3973019
2019-06-02,8375,8285,4442533
2019-06-03,8400,8285,3562479
2019-06-04,8375,8286,6141720
2019-06-05,8357,8287,685927
2019-06-06,8392,8290,4068261
2019-06-07,8379,8294,4213154
2019-06-08,8373,8298,5447383
2019-06-09,8376,8304,1059105
2019-06-10,8405,8311,1648096
2019-06-11,8449,8320,5697695
2019-06-12,8461,8328,3756518
2019-06-13,8460,8333,5067493
2019-06-14,8434,8339,4883806
2019-06-15,8382,8343,3145848
2019-06-16,8369,8347,276908
2019-06-17,8347,8349,4767668
2019-06-18,8341,8351,3061995
2019-06-19,8319,8352,4420796
2019-06-20,8280,8349,6896781
2019-06-21,8243,8345,3977563
2019-06-22,8225,8342,3180093
2019-06-23,8217,8340,18609
2019-06-24,8208,8339,3512461
2019-06-25,8195,8339,4133062
2019-06-26,8202,8338,4000488
2019-06-27,8219,8337,5287201
2019-06-28,8238,8335,2272251
2019-06-29,8254,8333,5188220
2019-06-30,8280,8331,1171172
2019-07-01,8312,8328,2732296
2019-07-02,8341,8327,5388100
2019-07-03,8369,8326,5023155
2019-07-04,8362,8326,2950977
2019-07-05,8324,8325,5195842
2019-07-06,8280,8321,4162307
2019-07-07,8247,8317,4327404
2019-07-08,8262,8313,3407716
2019-07-09,8280,8310,5316899
2019-07-10,8296,8306,306910
2019-07-11,8277,8300,3341549
2019-07-12,8278,8294,6049398
2019-07-13,8269,8288,2525662
2019-07-14,8280,8283,1808015
2019-07-15,8286,8280,2695712
2019-07-16,8325,8278,3906687
2019-07-17,8326,8277,1535313
2019-07-18,8302,8276,3649517
2019-07-19,8285,8275,3829455
2019-07-20,8276,8275,3537173
2019-07-21,8287,8276,644518
2019-07-22,8309,8279,4763436
2019-07-23,8365,8284,4747346
2019-07-24,8380,8290,116788
2019-07-25,8369,8296,3270483
2019-07-26,8321,8299,3484545
2019-07-27,8294,8302,4756675
2019-07-28,8301,8304,4086071
2019-07-29,8366,8308,3334640
2019-07-30,8456,8314,5201052
2019-07-31,8423,8317,839336
2019-08-01,8407,8320,3684343
2019-08-02,8377,8320,3661221
2019-08-03,8360,8320,6380210
2019-08-04,8363,8321,781937
2019-08-05,8377,8324,4625668
2019-08-06,8357,8328,3753438
2019-08-07,8341,8331,1602618
2019-08-08,8316,8332,2979254
2019-08-09,8265,8331,3102772
2019-08-10,8245,8330,6812260
2019-08-11,8233,8328,3086047
2019-08-12,8246,8327,3810432
2019-08-13,8237,8326,3461228
2019-08-14,8240,8324,3899521
2019-08-15,8226,8321,3747702
2019-08-16,8213,8317,6638460
2019-08-17,8187,8314,1955951
2019-08-18,8192,8310,5240015
2019-08-19,8210,8308,3786266
2019-08-20,8221,8306,3302185
2019-08-21,8235,8304,3447896
2019-08-22,8221,8299,4880699
2019-08-23,8210,8293,2720228
2019-08-24,8201,8288,5928658
2019-08-25,8184,8283,2311932
2019-08-26,8199,8280,4460982
2019-08-27,8194,8276,3060607
2019-08-28,8195,8271,229913
2019-08-29,8194,8262,156785
2019-08-30,8186,8254,5614926
2019-08-31,8183,8246,2306441
2019-09-01,8188,8240,1525076
2019-09-02,8211,8235,2121782
2019-09-03,8225,8231,5666396
2019-09-04,8233,8226,1461445
2019-09-05,8242,8222,3219460
2019-09-06,8234,8218,2176040
2019-09-07,8222,8215,5171896
2019-09-08,8217,8214,3195198
2019-09-09,8231,8213,2588692
2019-09-10,8230,8213,2577514
2019-09-11,8239,8213,4673172
2019-09-12,8236,8213,2883947
2019-09-13,8236,8213,2928532
2019-09-14,8223,8213,3978314
2019-09-15,8215,8213,3656354
2019-09-16,8214,8214,4251335
2019-09-17,8224,8215,3451007
2019-09-18,8239,8216,1660689
2019-09-19,8271,8217,2870038
2019-09-20,8258,8218,2516044
2019-09-21,8247,8219,4304526
2019-09-22,8255,8220,3570857
2019-09-23,8275,8223,4708056
2019-09-24,8268,8226,1843011
2019-09-25,8301,8229,4437673
2019-09-26,8299,8233,5062794
2019-09-27,8272,8235,2734606
2019-09-28,8245,8237,4520816
2019-09-29,8229,8238,2495624
2019-09-30,8212,8239,2807339
2019-10-01,8188,8239,1521287
2019-10-02,8148,8237,2605795
2019-10-03,8135,8234,3553648
2019-10-04,8121,8230,3304149
2019-10-05,8108,8226,4620415
2019-10-06,8099,8221,1601813
2019-10-07,8096,8217,2996202
2019-10-08,8078,8213,4783326
2019-10-09,8066,8207,1823150
2019-10-10,8062,8201,4723583
2019-10-11,8040,8195,2823983
2019-10-12,8012,8187,3857115
2019-10-13,8007,8180,429975
2019-10-14,8023,8173,4578465
2019-10-15,8030,8167,2455655
2019-10-16,8035,8161,839352
2019-10-17,8032,8155,2038141
2019-10-18,8026,8147,4419657
2019-10-19,8004,8139,4879197
2019-10-20,8016,8130,2733961
2019-10-21,8032,8123,2953890
2019-10-22,8039,8116,3086044
2019-10-23,8033,8108,4346774
2019-10-24,8030,8100,3353659
2019-10-25,8022,8091,4052587
2019-10-26,8015,8081,4898346
2019-10-27,8039,8074,3531631
2019-10-28,8097,8069,4596904
2019-10-29,8088,8064,2098040
2019-10-30,8073,8059,2674970
2019-10-31,8066,8055,3525500
2019-11-01,8054,8052,3627629
2019-11-02,8020,8048,4575125
2019-11-03,7999,8044,1160653
2019-11-04,7983,8040,4018128
2019-11-05,7970,8036,2043713
2019-11-06,7961,8031,3258064
2019-11-07,7947,8027,2815107
2019-11-08,7921,8022,3823412
2019-11-09,7860,8015,4644589
2019-11-10,7835,8008,918919
2019-11-11,7820,8002,646709
2019-11-12,7793,7995,2535141
2019-11-13,7771,7987,2871527
2019-11-14,7765,7978,2926541
2019-11-15,7757,7968,3600081
2019-11-16,7758,7959,4837077
2019-11-17,7766,7951,1490771
2019-11-18,7784,7943,4218576
2019-11-19,7808,7936,2673589
2019-11-20,7859,7931,576054
2019-11-21,7925,7927,1913494
2019-11-22,7948,7924,3777635
2019-11-23,7955,7921,3683961
2019-11-24,7963,7920,3659257
2019-11-25,7978,7918,1640780
