Date,Daily Average,Six Month Average,Amount Traded,Nature Rune Daily Average,
11/4/2019,59570,59575,11265,173,257
11/5/2019,59589,59574,6071,180,231
11/6/2019,59592,59572,9078,186,222
11/7/2019,59545,59571,10818,184,271
11/8/2019,59546,59569,14431,176,278
11/9/2019,59544,59565,17212,168,288
11/10/2019,59527,59562,3630,161,312
11/11/2019,59491,59559,2345,165,344
11/12/2019,59511,59557,9983,165,324
11/13/2019,59647,59559,12421,161,192
11/14/2019,59819,59565,12476,160,21
11/15/2019,59623,59564,14354,162,215
11/16/2019,59781,59570,17892,157,62
11/17/2019,59875,59580,5961,155,-30
11/18/2019,59624,59583,15225,157,219
11/19/2019,59549,59581,9436,158,293
11/20/2019,59548,59580,1614,157,295
11/21/2019,59582,59580,6677,153,265
11/22/2019,59571,59584,14438,150,279
11/23/2019,59613,59586,15387,145,242
11/24/2019,59550,59587,13968,144,306
11/25/2019,59507,59587,4554,148,345
