Date,Daily Average,Six Month Average,Amount Traded
2019-05-30,37974,37940,69251
2019-05-31,37976,37942,54134
2019-06-01,37949,37942,73131
2019-06-02,37943,37942,82790
2019-06-03,37903,37942,69901
2019-06-04,37903,37941,102964
2019-06-05,37935,37942,12529
2019-06-06,37915,37943,92078
2019-06-07,37930,37943,83640
2019-06-08,37961,37944,117508
2019-06-09,37935,37944,28234
2019-06-10,37902,37943,29010
2019-06-11,37910,37942,97618
2019-06-12,37941,37942,76325
2019-06-13,37951,37942,103516
2019-06-14,37929,37940,96328
2019-06-15,37924,37939,68568
2019-06-16,37889,37936,5621
2019-06-17,37922,37936,84504
2019-06-18,37928,37937,66480
2019-06-19,37878,37934,78853
2019-06-20,37926,37934,112994
2019-06-21,37951,37934,64797
2019-06-22,37962,37935,56801
2019-06-23,37944,37935,335
2019-06-24,37939,37934,66742
2019-06-25,37941,37934,91864
2019-06-26,37889,37932,77608
2019-06-27,37928,37931,109998
2019-06-28,37909,37929,52691
2019-06-29,37916,37927,96449
2019-06-30,37973,37927,24805
2019-07-01,37935,37927,52506
2019-07-02,37928,37926,101238
2019-07-03,37939,37927,88454
2019-07-04,37940,37929,63818
2019-07-05,37914,37928,93513
2019-07-06,37905,37927,86578
2019-07-07,37872,37926,102420
2019-07-08,37827,37921,75820
2019-07-09,37871,37919,98599
2019-07-10,37920,37920,5432
2019-07-11,37942,37921,63916
2019-07-12,37954,37921,109267
2019-07-13,37967,37922,46303
2019-07-14,37935,37922,35894
2019-07-15,37949,37923,45219
2019-07-16,37952,37925,79120
2019-07-17,37956,37926,22162
2019-07-18,37975,37927,76561
2019-07-19,37942,37930,80149
2019-07-20,37927,37930,68384
2019-07-21,37931,37929,11615
2019-07-22,37949,37928,80284
2019-07-23,37951,37929,101418
2019-07-24,37876,37927,2452
2019-07-25,37848,37924,63064
2019-07-26,37906,37924,75373
2019-07-27,37839,37921,82945
2019-07-28,37904,37921,71847
2019-07-29,37884,37920,66856
2019-07-30,37808,37914,111717
2019-07-31,37805,37910,13953
2019-08-01,37853,37908,70749
2019-08-02,37821,37904,87130
2019-08-03,37818,37900,145175
2019-08-04,37813,37896,11244
2019-08-05,37884,37895,96523
2019-08-06,37875,37896,93263
2019-08-07,37811,37895,58394
2019-08-08,37775,37892,92375
2019-08-09,37758,37886,69376
2019-08-10,37788,37881,165561
2019-08-11,37789,37876,78528
2019-08-12,37769,37869,82819
2019-08-13,37806,37865,85427
2019-08-14,37824,37861,99018
2019-08-15,37771,37855,86857
2019-08-16,37840,37851,166200
2019-08-17,37794,37845,37993
2019-08-18,37834,37841,118408
2019-08-19,37700,37834,79479
2019-08-20,37849,37831,82885
2019-08-21,37827,37827,76934
2019-08-22,37868,37824,94409
2019-08-23,37901,37825,65836
2019-08-24,37894,37826,144374
2019-08-25,37872,37825,55978
2019-08-26,37868,37826,96272
2019-08-27,37881,37826,69256
2019-08-28,37901,37826,6532
2019-08-29,37926,37830,3236
2019-08-30,37899,37833,122898
2019-08-31,37904,37835,38371
2019-09-01,37918,37838,30909
2019-09-02,37901,37841,39069
2019-09-03,37903,37844,105523
2019-09-04,37922,37845,33506
2019-09-05,37925,37847,67479
2019-09-06,37934,37851,41681
2019-09-07,37938,37856,124908
2019-09-08,37910,37861,63905
2019-09-09,37918,37866,50734
2019-09-10,37925,37870,69641
2019-09-11,37901,37875,137406
2019-09-12,37876,37877,73159
2019-09-13,37900,37880,72943
2019-09-14,37903,37884,85889
2019-09-15,37932,37887,90724
2019-09-16,37901,37891,79162
2019-09-17,37905,37893,69692
2019-09-18,37933,37901,28281
2019-09-19,37938,37904,59180
2019-09-20,37933,37907,55075
2019-09-21,37926,37909,84878
2019-09-22,37909,37909,66886
2019-09-23,37920,37910,78629
