Date,Daily Average,Six Month Average,Amount Traded
2019-05-30,119399,119390,4997
2019-05-31,119282,119385,4101
2019-06-01,119381,119382,4962
2019-06-02,119509,119381,5421
2019-06-03,119470,119380,4450
2019-06-04,119392,119378,6585
2019-06-05,119390,119385,753
2019-06-06,119418,119387,4461
2019-06-07,119349,119383,5071
2019-06-08,119379,119386,6547
2019-06-09,119387,119386,1208
2019-06-10,119389,119387,1960
2019-06-11,119389,119392,7064
2019-06-12,119383,119395,4791
2019-06-13,119400,119396,6573
2019-06-14,119418,119395,6287
2019-06-15,119371,119392,4064
2019-06-16,119428,119396,547
2019-06-17,119392,119401,5944
2019-06-18,119357,119394,4097
2019-06-19,119409,119394,5646
2019-06-20,119404,119396,8180
2019-06-21,119700,119407,4661
2019-06-22,119005,119392,4147
2019-06-23,119254,119380,23
2019-06-24,119311,119374,4566
2019-06-25,119386,119380,5982
2019-06-26,119317,119380,5576
2019-06-27,119362,119380,6590
2019-06-28,119389,119380,2961
2019-06-29,119392,119380,5979
2019-06-30,119410,119384,1327
2019-07-01,119353,119383,3303
2019-07-02,119397,119380,6253
2019-07-03,119397,119377,6279
2019-07-04,119371,119376,3781
2019-07-05,119394,119377,6482
2019-07-06,119387,119376,4869
2019-07-07,119409,119378,5064
2019-07-08,119410,119379,4390
2019-07-09,119437,119380,6519
2019-07-10,119435,119382,339
2019-07-11,119354,119381,4401
2019-07-12,119403,119381,7775
2019-07-13,119424,119382,3034
2019-07-14,119458,119383,2252
2019-07-15,119321,119382,2990
2019-07-16,119400,119381,5097
2019-07-17,119389,119381,2222
2019-07-18,119500,119385,5022
2019-07-19,119610,119392,5333
2019-07-20,119356,119391,4961
2019-07-21,119181,119373,1084
2019-07-22,119282,119382,5535
2019-07-23,119325,119385,6147
2019-07-24,119358,119386,144
2019-07-25,119369,119386,3754
2019-07-26,119351,119387,4389
2019-07-27,119353,119387,6147
2019-07-28,119311,119384,5033
2019-07-29,118991,119371,4816
2019-07-30,119166,119363,7055
2019-07-31,119281,119360,1251
2019-08-01,119283,119356,4588
2019-08-02,119359,119355,5558
2019-08-03,119267,119352,8169
2019-08-04,119601,119359,1312
2019-08-05,119027,119347,6593
2019-08-06,119156,119338,5153
2019-08-07,119252,119333,2154
2019-08-08,119310,119329,4124
2019-08-09,119233,119322,3641
2019-08-10,119280,119319,8918
2019-08-11,119293,119316,3777
2019-08-12,119296,119311,5258
2019-08-13,119269,119305,5043
2019-08-14,119305,119305,5541
2019-08-15,119340,119303,4876
2019-08-16,119382,119302,8374
