Date,Daily Average,Six Month Average,Amount Traded
2019-05-30,37994,37966,16354
2019-05-31,38042,37970,15374
2019-06-01,38008,37971,31501
2019-06-02,37523,37956,32764
2019-06-03,37449,37940,20714
2019-06-04,37934,37939,25859
2019-06-05,38021,37941,2029
2019-06-06,37974,37942,25186
2019-06-07,37962,37943,28072
2019-06-08,37961,37943,44182
2019-06-09,37646,37932,8926
2019-06-10,37885,37929,12579
2019-06-11,37899,37925,33758
2019-06-12,37950,37923,24967
2019-06-13,37946,37924,29557
2019-06-14,37983,37924,22443
2019-06-15,38017,37926,15363
2019-06-16,38060,37928,5057
2019-06-17,37967,37928,35762
2019-06-18,37950,37928,16427
2019-06-19,37989,37930,16442
2019-06-20,38000,37932,40190
2019-06-21,37973,37932,20238
2019-06-22,37986,37933,18400
2019-06-23,37945,37931,91
2019-06-24,37941,37930,20229
2019-06-25,37954,37930,25958
2019-06-26,37966,37930,24474
2019-06-27,37956,37929,40068
2019-06-28,37941,37927,17970
2019-06-29,37939,37925,28148
2019-06-30,37977,37923,2909
2019-07-01,38016,37923,14402
2019-07-02,37978,37938,30095
2019-07-03,37940,37955,25479
2019-07-04,37961,37956,25980
2019-07-05,37916,37952,23746
2019-07-06,37968,37952,20244
2019-07-07,37968,37952,21578
2019-07-08,38002,37953,18752
2019-07-09,38052,37967,33493
2019-07-10,37951,37969,943
2019-07-11,37978,37972,20344
2019-07-12,37996,37973,42129
2019-07-13,37936,37973,18730
2019-07-14,37917,37971,10666
2019-07-15,37990,37970,10275
2019-07-16,38082,37971,23701
2019-07-17,38040,37973,10182
2019-07-18,37969,37974,21080
2019-07-19,37969,37973,24597
2019-07-20,37960,37972,22255
2019-07-21,37955,37971,2702
2019-07-22,37944,37970,20843
2019-07-23,37987,37971,28406
2019-07-24,37990,37973,203
2019-07-25,37948,37973,19989
2019-07-26,37929,37971,19239
2019-07-27,37948,37971,30679
2019-07-28,37922,37970,27176
2019-07-29,37885,37969,18603
2019-07-30,37916,37967,38934
2019-07-31,37852,37961,6111
2019-08-01,37913,37959,18933
2019-08-02,37940,37959,24014
2019-08-03,37926,37958,46262
2019-08-04,37841,37955,5098
2019-08-05,37828,37951,28920
2019-08-06,37875,37948,26044
2019-08-07,37870,37943,20025
2019-08-08,37814,37935,21250
2019-08-09,37862,37932,22612
2019-08-10,37869,37929,48918
2019-08-11,37849,37924,16864
2019-08-12,37897,37922,42502
2019-08-13,37756,37917,31662
2019-08-14,37780,37910,41376
2019-08-15,37794,37900,26879
2019-08-16,37858,37894,52521
2019-08-17,37871,37891,12958
2019-08-18,37861,37888,37106
2019-08-19,37880,37885,19471
2019-08-20,37925,37884,22414
2019-08-21,37896,37882,30281
2019-08-22,37897,37879,46470
2019-08-23,37860,37875,24430
2019-08-24,37874,37872,33005
2019-08-25,37934,37873,15173
2019-08-26,37946,37873,21813
2019-08-27,38004,37875,18346
2019-08-28,37989,37879,612
2019-08-29,37992,37881,1676
2019-08-30,37998,37886,31010
2019-08-31,37954,37888,14768
2019-09-01,37909,37886,8238
2019-09-02,37941,37887,11666
2019-09-03,37944,37890,34513
2019-09-04,37933,37894,8210
2019-09-05,37942,37896,20353
2019-09-06,37942,37899,15732
2019-09-07,37864,37900,36452
2019-09-08,37902,37902,18338
2019-09-09,37916,37903,14698
2019-09-10,37934,37906,10220
2019-09-11,37966,37908,28223
2019-09-12,37983,37916,19249
2019-09-13,37978,37922,19147
2019-09-14,37961,37928,35078
2019-09-15,37896,37929,29387
2019-09-16,37898,37930,29409
2019-09-17,37891,37931,25337
2019-09-18,37906,37932,5531
2019-09-19,37992,37934,24155
2019-09-20,37953,37936,12181
2019-09-21,37961,37938,26390
2019-09-22,37923,37940,26860
2019-09-23,37847,37939,32623
2019-09-24,37880,37938,10758
2019-09-25,37908,37936,21469
2019-09-26,37950,37935,22969
2019-09-27,37985,37934,13639
2019-09-28,37959,37933,27502
2019-09-29,37910,37930,15969
2019-09-30,37855,37927,13833
2019-10-01,37905,37927,6952
2019-10-02,37874,37925,15677
2019-10-03,37868,37922,16280
2019-10-04,37898,37921,16378
2019-10-05,37890,37919,23010
2019-10-06,37905,37918,7914
2019-10-07,37910,37920,14639
