Date,Daily Average,Six Month Average,Amount Traded
2019-05-30,161371,161337,12573
2019-05-31,161328,161336,9179
2019-06-01,161369,161336,12315
2019-06-02,161405,161336,12259
2019-06-03,161348,161335,9185
2019-06-04,161360,161335,15078
2019-06-05,161336,161334,2180
2019-06-06,161348,161334,11361
2019-06-07,161357,161335,11873
2019-06-08,161348,161338,15500
2019-06-09,161333,161338,3269
2019-06-10,161336,161340,4182
2019-06-11,161306,161341,16419
2019-06-12,161321,161341,11714
2019-06-13,161375,161341,15100
2019-06-14,161374,161341,14452
2019-06-15,161333,161340,9745
2019-06-16,161325,161341,1237
2019-06-17,161368,161347,13256
2019-06-18,161356,161350,8841
2019-06-19,161388,161351,12019
2019-06-20,161372,161351,19425
2019-06-21,161381,161350,11062
2019-06-22,161365,161350,8900
2019-06-23,161361,161349,70
2019-06-24,161361,161351,10159
2019-06-25,161371,161352,13368
2019-06-26,161249,161349,12754
2019-06-27,161295,161348,16527
2019-06-28,161331,161349,6669
2019-06-29,161348,161348,15396
2019-06-30,161351,161349,3733
2019-07-01,161358,161348,7464
2019-07-02,161371,161347,15279
2019-07-03,161345,161347,15658
2019-07-04,161325,161346,9373
2019-07-05,161357,161346,16052
2019-07-06,161258,161343,11513
2019-07-07,161335,161343,12153
2019-07-08,161354,161343,9890
2019-07-09,161366,161344,16076
2019-07-10,161363,161345,1086
2019-07-11,161378,161347,10742
2019-07-12,161381,161349,20426
2019-07-13,161370,161349,6868
2019-07-14,161391,161350,6549
2019-07-15,161369,161351,6699
2019-07-16,161402,161354,12813
2019-07-17,161316,161352,5669
2019-07-18,161304,161350,12557
2019-07-19,161316,161348,11830
2019-07-20,161319,161346,11034
2019-07-21,161331,161344,2358
2019-07-22,161307,161342,12562
2019-07-23,161296,161340,15933
2019-07-24,161310,161338,535
2019-07-25,161330,161337,11275
2019-07-26,161305,161339,11685
2019-07-27,161289,161339,16166
2019-07-28,161240,161336,12431
2019-07-29,161172,161330,11295
2019-07-30,161144,161323,16652
2019-07-31,161224,161318,3158
2019-08-01,161258,161315,12041
2019-08-02,161283,161313,12971
2019-08-03,161266,161311,19449
2019-08-04,161262,161307,3094
2019-08-05,161295,161309,15524
2019-08-06,161258,161306,12303
2019-08-07,161254,161303,5964
2019-08-08,161258,161299,9627
2019-08-09,161273,161296,8787
2019-08-10,161269,161293,19873
2019-08-11,161264,161289,7725
2019-08-12,161247,161285,12003
2019-08-13,161254,161280,11687
2019-08-14,161269,161277,12917
2019-08-15,161294,161273,11594
2019-08-16,161315,161273,21161
2019-08-17,161310,161273,5212
2019-08-18,161344,161274,15221
2019-08-19,161317,161274,11731
2019-08-20,161342,161274,10548
2019-08-21,161347,161276,11501
2019-08-22,161355,161278,16009
2019-08-23,161364,161280,8784
2019-08-24,161361,161281,18623
2019-08-25,161299,161280,6423
2019-08-26,161322,161282,13653
2019-08-27,161255,161282,9685
2019-08-28,161296,161286,799
2019-08-29,161321,161292,669
2019-08-30,161306,161295,19449
2019-08-31,161243,161294,7003
2019-09-01,161305,161295,5234
2019-09-02,161290,161296,6661
2019-09-03,161271,161296,19657
2019-09-04,161282,161296,5575
2019-09-05,161305,161297,10866
2019-09-06,161328,161300,8168
2019-09-07,161313,161302,17977
2019-09-08,161320,161303,9288
2019-09-09,161330,161305,8606
2019-09-10,161330,161307,9005
2019-09-11,161285,161309,15022
2019-09-12,161305,161310,10003
2019-09-13,161323,161312,11091
2019-09-14,161129,161307,14334
2019-09-15,161217,161303,12241
2019-09-16,161262,161302,14316
2019-09-17,161298,161300,11879
2019-09-18,161313,161300,5655
2019-09-19,161323,161299,10846
2019-09-20,161321,161299,8197
2019-09-21,161225,161294,13895
2019-09-22,161236,161290,12045
2019-09-23,161174,161284,17257
2019-09-24,161235,161282,6011
2019-09-25,161289,161281,15213
2019-09-26,161305,161282,18108
2019-09-27,161277,161282,9854
2019-09-28,160496,161254,15098
2019-09-29,160902,161241,6884
2019-09-30,161033,161234,10306
2019-10-01,161121,161227,5587
2019-10-02,161188,161224,7535
2019-10-03,161212,161222,11076
2019-10-04,161261,161221,11588
2019-10-05,161281,161221,13131
2019-10-06,161300,161220,5070
2019-10-07,161291,161219,10642
2019-10-08,161290,161218,14491
2019-10-09,161219,161214,5650
2019-10-10,161173,161209,15036
2019-10-11,161212,161207,8570
2019-10-12,161237,161204,12276
2019-10-13,161155,161199,1561
2019-10-14,161193,161201,15550
2019-10-15,161160,161199,8705
2019-10-16,161134,161195,3606
2019-10-17,161076,161187,6855
2019-10-18,161179,161183,15821
2019-10-19,161226,161180,15644
2019-10-20,161241,161177,8439
2019-10-21,161274,161179,9521
2019-10-22,161301,161181,11354
2019-10-23,161296,161185,15525
2019-10-24,161291,161187,10868
2019-10-25,161273,161186,12747
2019-10-26,161196,161182,15621
2019-10-27,161156,161178,9498
2019-10-28,161214,161202,16360
2019-10-29,161243,161214,6440
2019-10-30,161264,161221,9477
2019-10-31,161279,161227,13402
2019-11-01,161276,161230,12156
2019-11-02,161221,161230,14417
2019-11-03,161358,161233,4670
2019-11-04,161349,161235,12887
2019-11-05,161304,161236,6110
2019-11-06,161285,161235,10915
2019-11-07,161279,161235,9736
2019-11-08,161309,161238,13318
2019-11-09,161212,161239,14623
2019-11-10,161188,161238,3288
2019-11-11,161234,161238,2069
2019-11-12,161268,161242,8280
2019-11-13,161285,161245,9609
2019-11-14,161265,161249,11693
2019-11-15,161232,161252,14744
2019-11-16,161097,161253,17374
2019-11-17,161081,161249,4670
2019-11-18,161097,161245,15315
2019-11-19,161143,161242,8647
2019-11-20,161170,161238,2324
2019-11-21,160903,161225,6502
2019-11-22,161059,161217,13220
2019-11-23,161126,161212,12057
2019-11-24,161179,161209,11344
2019-11-25,161199,161209,5460
