Date,Daily Average,Six Month Average,Amount Traded
2019-05-30,300015,301220,451
2019-05-31,300121,301223,344
2019-06-01,300121,301226,595
2019-06-02,300135,301228,645
2019-06-03,300072,301227,397
2019-06-04,299996,301229,827
2019-06-05,301233,301387,80
2019-06-06,301729,301448,510
2019-06-07,301028,301486,575
2019-06-08,300899,301511,691
2019-06-09,303500,301623,140
2019-06-10,300857,301648,176
2019-06-11,300857,301672,712
2019-06-12,305170,301861,598
2019-06-13,303274,301972,596
2019-06-14,302015,302043,592
2019-06-15,303314,302159,395
2019-06-16,308510,302449,44
2019-06-17,302945,302540,567
2019-06-18,302660,302554,413
2019-06-19,301306,302427,461
2019-06-20,301666,302260,717
2019-06-21,307342,302143,488
2019-06-22,305401,302205,385
2019-06-23,302723,302247,2
2019-06-24,301837,302157,400
2019-06-25,300605,302087,637
2019-06-26,300433,302041,408
2019-06-27,300203,302008,594
2019-06-28,300306,302009,251
2019-06-29,300306,302018,537
2019-06-30,300118,302018,102
2019-07-01,299757,302006,524
2019-07-02,299574,301987,698
2019-07-03,301139,302023,706
2019-07-04,301732,302081,414
2019-07-05,300592,302059,558
2019-07-06,301027,302036,522
2019-07-07,300885,302031,560
2019-07-08,301344,302046,405
2019-07-09,301576,301982,698
2019-07-10,302067,302022,27
2019-07-11,301405,302041,429
2019-07-12,301750,301927,688
2019-07-13,301120,301855,284
2019-07-14,301120,301825,253
2019-07-15,300568,301733,255
2019-07-16,300568,301469,571
2019-07-17,300017,301371,213
2019-07-18,300129,301287,437
2019-07-19,300059,301245,454
2019-07-20,300007,301190,459
2019-07-21,299978,300944,56
2019-07-22,299988,300764,546
2019-07-23,299812,300667,512
2019-07-24,299492,300589,15
2019-07-25,299735,300560,344
2019-07-26,299798,300539,391
2019-07-27,299969,300531,596
2019-07-28,299997,300520,466
2019-07-29,300067,300513,457
2019-07-30,300133,300513,613
2019-07-31,299839,300516,96
2019-08-01,299965,300529,408
2019-08-02,299913,300488,481
2019-08-03,299865,300426,905
2019-08-04,299905,300403,88
2019-08-05,300127,300373,616
2019-08-06,299777,300336,472
2019-08-07,299733,300282,184
2019-08-08,299696,300219,433
2019-08-09,299866,300146,359
2019-08-10,299715,300090,945
2019-08-11,301607,300085,403
2019-08-12,302738,300139,538
2019-08-13,300857,300130,439
2019-08-14,300306,300121,539
2019-08-15,299926,300100,558
2019-08-16,297865,300028,986
2019-08-17,301162,300063,267
2019-08-18,301162,300100,804
2019-08-19,302231,300174,543
2019-08-20,300426,300189,458
2019-08-21,299376,300168,546
2019-08-22,300541,300192,699
2019-08-23,300230,300217,381
2019-08-24,299697,300216,803
2019-08-25,299162,300195,378
2019-08-26,299423,300176,610
2019-08-27,299797,300170,348
2019-08-28,300089,300170,28
2019-08-29,300024,300167,27
2019-08-30,299522,300156,660
2019-08-31,299807,300151,296
2019-09-01,299807,300147,185
2019-09-02,300074,300154,267
2019-09-03,300074,300160,642
2019-09-04,299856,300151,181
2019-09-05,299696,300148,529
2019-09-06,299768,300150,293
2019-09-07,299768,300152,702
2019-09-08,299650,300145,393
2019-09-09,301363,300200,317
2019-09-10,301363,300192,311
2019-09-11,301544,300152,656
2019-09-12,300108,300127,446
2019-09-13,299813,300110,436
2019-09-14,299967,300112,522
2019-09-15,300048,300184,517
2019-09-16,299796,300139,516
2019-09-17,298939,300065,493
2019-09-18,299601,299977,172
2019-09-19,299687,299953,433
2019-09-20,299846,299968,291
2019-09-21,299846,299945,547
2019-09-22,299939,299935,509
2019-09-23,299824,299940,590
2019-09-24,299877,299963,236
2019-09-25,299877,299979,602
2019-09-26,299680,299975,613
2019-09-27,300564,299990,371
2019-09-28,300564,300008,539
2019-09-29,299778,300017,302
2019-09-30,299778,300016,391
2019-10-01,299657,300011,167
2019-10-02,299765,300001,277
2019-10-03,299765,299990,488
2019-10-04,299843,299990,409
2019-10-05,299524,299984,616
2019-10-06,300443,300007,196
2019-10-07,298775,299974,435
2019-10-08,299770,299978,553
2019-10-09,301424,299980,346
2019-10-10,301424,299982,603
2019-10-11,303177,300036,397
2019-10-12,303177,300138,556
2019-10-13,301983,300211,35
2019-10-14,298477,300161,637
2019-10-15,300656,300181,398
2019-10-16,300234,300196,84
2019-10-17,299997,300231,246
2019-10-18,299997,300244,534
2019-10-19,299841,300250,585
2019-10-20,299688,300244,424
2019-10-21,299804,300243,380
2019-10-22,299840,300240,393
2019-10-23,299753,300237,524
2019-10-24,299879,300237,406
2019-10-25,300165,300247,405
2019-10-26,299999,300258,614
2019-10-27,299893,300235,461
2019-10-28,299557,300202,679
2019-10-29,302154,300281,164
2019-10-30,302154,300360,302
2019-10-31,305941,300569,445
2019-11-01,317871,301173,512
2019-11-02,329919,302178,589
2019-11-03,340574,303536,154
2019-11-04,331475,304601,630
2019-11-05,318947,305218,259
2019-11-06,318947,305890,418
2019-11-07,306663,306120,413
2019-11-08,300813,306099,507
2019-11-09,299180,306025,663
2019-11-10,300015,305919,122
2019-11-11,300703,305837,88
2019-11-12,299949,305769,456
2019-11-13,298954,305785,463
2019-11-14,299342,305741,388
2019-11-15,299482,305716,519
2019-11-16,299649,305704,739
2019-11-17,299703,305695,206
2019-11-18,299703,305690,550
2019-11-19,299526,305685,309
2019-11-20,299526,305675,63
2019-11-21,299539,305665,225
2019-11-22,299539,305658,495
2019-11-23,300397,305675,451
2019-11-24,300253,305678,480
2019-11-25,300095,305682,162
