Date,Daily Average,Six Month Average,Amount Traded
2019-05-30,29619,29600,20355
2019-05-31,29615,29600,15627
2019-06-01,29609,29602,21681
2019-06-02,29583,29602,23658
2019-06-03,29583,29601,19669
2019-06-04,29594,29602,28464
2019-06-05,29594,29602,3372
2019-06-06,29603,29603,21514
2019-06-07,29604,29604,20454
2019-06-08,29620,29605,28323
2019-06-09,29597,29604,6256
2019-06-10,29586,29602,9434
2019-06-11,29559,29600,28958
2019-06-12,29566,29599,20829
2019-06-13,29587,29598,27760
2019-06-14,29599,29597,23970
2019-06-15,29612,29596,18220
2019-06-16,29545,29593,1714
2019-06-17,29590,29592,25483
2019-06-18,29590,29592,17138
2019-06-19,29598,29593,22606
2019-06-20,29604,29594,33405
2019-06-21,29572,29593,20395
2019-06-22,29571,29591,18654
2019-06-23,29546,29589,169
2019-06-24,29563,29588,19297
2019-06-25,29587,29588,21678
2019-06-26,29590,29589,20254
2019-06-27,29580,29588,27766
2019-06-28,29581,29588,11232
2019-06-29,29605,29587,26055
2019-06-30,29589,29586,6033
2019-07-01,29593,29586,13122
2019-07-02,29614,29587,25067
2019-07-03,29620,29588,24140
2019-07-04,29635,29590,16224
2019-07-05,29643,29591,27385
2019-07-06,29613,29591,22515
2019-07-07,29583,29591,23222
2019-07-08,29569,29589,19665
2019-07-09,29586,29589,28055
2019-07-10,29571,29588,1367
2019-07-11,29577,29589,18242
2019-07-12,29606,29590,30606
2019-07-13,29611,29591,11845
2019-07-14,29594,29591,9321
2019-07-15,29609,29591,12940
2019-07-16,29630,29594,22987
2019-07-17,29598,29594,8437
2019-07-18,29622,29595,17215
2019-07-19,29636,29596,18102
2019-07-20,29636,29597,18415
2019-07-21,29606,29598,3469
2019-07-22,29583,29599,21917
2019-07-23,29588,29600,23899
2019-07-24,29611,29602,889
2019-07-25,29601,29602,16108
2019-07-26,29613,29603,19276
2019-07-27,29590,29603,25807
2019-07-28,29554,29602,24006
2019-07-29,29446,29597,20422
2019-07-30,29492,29594,27029
2019-07-31,29542,29592,4322
2019-08-01,29592,29591,20433
2019-08-02,29536,29589,21673
2019-08-03,29514,29585,38927
2019-08-04,29510,29580,4483
2019-08-05,29502,29576,27433
2019-08-06,29502,29574,21010
2019-08-07,29539,29573,9542
2019-08-08,29548,29571,16282
2019-08-09,29554,29571,14539
2019-08-10,29582,29571,37335
2019-08-11,29525,29568,17360
2019-08-12,29428,29562,23838
2019-08-13,29487,29559,20564
2019-08-14,29523,29556,21800
2019-08-15,29544,29553,21755
2019-08-16,29566,29552,36372
2019-08-17,29552,29550,9833
