Date,Daily Average,Six Month Average,Amount Traded
2019-05-30,11201,11177,27438
2019-05-31,11221,11178,21448
2019-06-01,11207,11179,31936
2019-06-02,11165,11179,34526
2019-06-03,11136,11177,25179
2019-06-04,11150,11175,42524
2019-06-05,11146,11175,5054
2019-06-06,11166,11175,29722
2019-06-07,11188,11177,30217
2019-06-08,11195,11177,41592
2019-06-09,11181,11177,9094
2019-06-10,11184,11177,12956
2019-06-11,11161,11177,42843
2019-06-12,11178,11178,27885
2019-06-13,11176,11178,37357
2019-06-14,11172,11178,32656
2019-06-15,11171,11178,24023
2019-06-16,11160,11177,2559
2019-06-17,11154,11176,33963
2019-06-18,11157,11175,22813
2019-06-19,11163,11175,29361
2019-06-20,11167,11175,45468
2019-06-21,11171,11175,28111
2019-06-22,11161,11174,24044
2019-06-23,11160,11173,148
2019-06-24,11157,11172,27145
2019-06-25,11139,11170,32448
2019-06-26,11149,11169,30161
2019-06-27,11132,11168,36329
2019-06-28,11161,11167,20394
2019-06-29,11171,11166,39936
2019-06-30,11158,11164,7411
2019-07-01,11161,11163,21134
2019-07-02,11164,11162,35758
2019-07-03,11188,11164,34225
2019-07-04,11196,11166,24545
2019-07-05,11191,11167,38918
2019-07-06,11169,11167,31472
2019-07-07,11150,11166,32032
2019-07-08,11162,11165,27973
2019-07-09,11151,11164,38294
2019-07-10,11175,11164,1893
2019-07-11,11183,11164,25482
2019-07-12,11199,11165,45956
2019-07-13,11194,11166,17983
2019-07-14,11164,11165,13069
2019-07-15,11148,11165,18007
2019-07-16,11162,11165,30411
2019-07-17,11171,11165,11860
2019-07-18,11184,11166,24452
2019-07-19,11186,11167,26794
2019-07-20,11171,11167,25857
2019-07-21,11153,11167,4327
2019-07-22,11144,11166,31010
2019-07-23,11178,11167,33337
2019-07-24,11186,11168,700
2019-07-25,11157,11168,22884
2019-07-26,11176,11169,23049
2019-07-27,11134,11169,33968
2019-07-28,11113,11167,30746
2019-07-29,11082,11165,25654
2019-07-30,11090,11162,34364
2019-07-31,11129,11161,6946
2019-08-01,11148,11161,23938
2019-08-02,11144,11159,26790
2019-08-03,11124,11157,46024
2019-08-04,11139,11155,5448
2019-08-05,11133,11154,33051
2019-08-06,11143,11154,27297
2019-08-07,11130,11153,13100
2019-08-08,11140,11152,20063
2019-08-09,11150,11151,20951
2019-08-10,11118,11149,46441
2019-08-11,11086,11145,23020
2019-08-12,11033,11140,31640
2019-08-13,11058,11137,27186
2019-08-14,11088,11135,28547
2019-08-15,11124,11133,27240
2019-08-16,11140,11132,46231
2019-08-17,11146,11131,14219
2019-08-18,11131,11129,37984
2019-08-19,11115,11127,29646
2019-08-20,11091,11125,24364
2019-08-21,11138,11125,25413
2019-08-22,11153,11124,34651
2019-08-23,11161,11123,19889
2019-08-24,11157,11123,42638
2019-08-25,11151,11122,18605
2019-08-26,11139,11123,32048
2019-08-27,11138,11123,21156
2019-08-28,11149,11126,1482
2019-08-29,11150,11128,1109
2019-08-30,11151,11128,38937
2019-08-31,11141,11128,15789
2019-09-01,11119,11127,11357
2019-09-02,11119,11127,15353
2019-09-03,11119,11127,37570
2019-09-04,11144,11127,11574
2019-09-05,11143,11127,23426
2019-09-06,11137,11127,17306
2019-09-07,11110,11126,37778
2019-09-08,11132,11126,26031
2019-09-09,11108,11125,19829
2019-09-10,11140,11127,18661
2019-09-11,11159,11131,32380
2019-09-12,11182,11135,21150
2019-09-13,11187,11139,21098
2019-09-14,11184,11141,27947
2019-09-15,11153,11141,30402
2019-09-16,11119,11140,29832
2019-09-17,11093,11139,25051
2019-09-18,11099,11138,10652
2019-09-19,11131,11140,19614
2019-09-20,11150,11140,18127
2019-09-21,11132,11139,29625
2019-09-22,11153,11139,27288
2019-09-23,11147,11139,37610
2019-09-24,11115,11138,14432
2019-09-25,11082,11136,29737
2019-09-26,11112,11135,38953
2019-09-27,11114,11134,19341
2019-09-28,11114,11132,38149
2019-09-29,11091,11130,21154
2019-09-30,10992,11126,22285
2019-10-01,11042,11123,11963
2019-10-02,11072,11121,17547
2019-10-03,11089,11120,25004
2019-10-04,11114,11119,22678
2019-10-05,11117,11119,31472
2019-10-06,11121,11118,12782
2019-10-07,11102,11118,23546
2019-10-08,11067,11116,34893
2019-10-09,11045,11113,13874
2019-10-10,11053,11111,31413
2019-10-11,11086,11108,21695
2019-10-12,11083,11105,28680
2019-10-13,11082,11101,3056
2019-10-14,11083,11098,36264
2019-10-15,11096,11096,20055
2019-10-16,11107,11096,5912
2019-10-17,11143,11097,16858
2019-10-18,11091,11097,34036
2019-10-19,11096,11096,39691
2019-10-20,11088,11094,22574
2019-10-21,11069,11092,26026
2019-10-22,11023,11087,24313
2019-10-23,11097,11086,30185
2019-10-24,11138,11086,23568
2019-10-25,11133,11088,27517
2019-10-26,11122,11089,36268
2019-10-27,11083,11087,24812
2019-10-28,11090,11087,33594
2019-10-29,11116,11088,14697
2019-10-30,11129,11092,19401
2019-10-31,11121,11095,24282
2019-11-01,11138,11097,26957
2019-11-02,11134,11098,39263
2019-11-03,11086,11097,9130
2019-11-04,11079,11096,30154
2019-11-05,11098,11095,14602
2019-11-06,11120,11096,22148
2019-11-07,11137,11098,20712
2019-11-08,11115,11101,27596
2019-11-09,11113,11103,36498
2019-11-10,11088,11103,7397
2019-11-11,11017,11101,4021
2019-11-12,11073,11100,19952
2019-11-13,11065,11100,21945
2019-11-14,11067,11099,25434
2019-11-15,11078,11098,28999
2019-11-16,11101,11096,39783
2019-11-17,11080,11096,13401
2019-11-18,11001,11093,33430
2019-11-19,11063,11092,19504
2019-11-20,11098,11093,4338
2019-11-21,11117,11096,14136
2019-11-22,11119,11097,28425
2019-11-23,11120,11096,27903
2019-11-24,11119,11096,24433
2019-11-25,11116,11096,10873
